ID	Name	InChIKey	SMILES
DB00106	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N	CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
DB00114	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00115	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L	C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
DB00118	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N	C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
DB00119	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N	CC(=O)C(O)=O
DB00120	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N	N[C@@H](CC1=CC=CC=C1)C(O)=O
DB00121	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
DB00122	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N	C[N+](C)(C)CCO
DB00123	Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N	NCCCC[C@H](N)C(O)=O
DB00126	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
DB00128	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N	N[C@@H](CC(O)=O)C(O)=O
DB00129	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N	NCCC[C@H](N)C(O)=O
DB00130	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N	N[C@@H](CCC(N)=O)C(O)=O
DB00131	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB00132	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
DB00134	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N	CSCC[C@H](N)C(O)=O
DB00135	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
DB00136	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
DB00137	Lutein	KBPHJBAIARWVSC-RGZFRNHPSA-N	C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
DB00138	Cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N	N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
DB00139	Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N	OC(=O)CCC(O)=O
DB00140	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
DB00141	N-Acetylglucosamine	MBLBDJOUHNCFQT-LXGUWJNJSA-N	[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00142	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N	N[C@@H](CCC(O)=O)C(O)=O
DB00143	Glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00145	Glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O
DB00146	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N	C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00148	Creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N	CN(CC(O)=O)C(N)=N
DB00150	Tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N	N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
DB00151	Cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N	N[C@@H](CS)C(O)=O
DB00152	Thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
DB00153	Ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00156	Threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N	C[C@@H](O)[C@H](N)C(O)=O
DB00157	NADH	BOPGDPNILDQYTO-NNYOXOHSSA-N	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00158	Folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DB00159	Icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB00161	Valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N	CC(C)[C@H](N)C(O)=O
DB00162	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
DB00163	Vitamin E	GVJHHUAWPYXKBD-IEOSBIPESA-N	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165	Pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N	CC1=C(O)C(CO)=C(CO)C=N1
DB00166	Lipoic acid	AGBQKNBQESQNJD-SSDOTTSWSA-N	OC(=O)CCCC[C@@H]1CCSS1
DB00169	Cholecalciferol	QYSXJUFSXHHAJI-YRZJJWOYSA-N	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170	Menadione	MJVAVZPDRWSRRC-UHFFFAOYSA-N	CC1=CC(=O)C2=CC=CC=C2C1=O
DB00173	Adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=C2NC=NC2=NC=N1
DB00174	Asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N	N[C@@H](CC(N)=O)C(O)=O
DB00175	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N	[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176	Fluvoxamine	CJOFXWAVKWHTFT-XSFVSMFZSA-N	COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177	Valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N	CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N	[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179	Masoprocol	HCZKYJDFEPMADG-TXEJJXNPSA-N	C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180	Flunisolide	XSFJVAJPIHIPKU-XWCQMRHXSA-N	[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181	Baclofen	KPYSYYIEGFHWSV-UHFFFAOYSA-N	NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182	Amphetamine	KWTSXDURSIMDCE-UHFFFAOYSA-N	CC(N)CC1=CC=CC=C1
DB00183	Pentagastrin	NEYNJQRKHLUJRU-DZUOILHNSA-N	CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
DB00184	Nicotine	SNICXCGAKADSCV-JTQLQIEISA-N	CN1CCC[C@H]1C1=CN=CC=C1
DB00185	Cevimeline	WUTYZMFRCNBCHQ-LHIURRSHSA-N	CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186	Lorazepam	DIWRORZWFLOCLC-UHFFFAOYSA-N	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187	Esmolol	AQNDDEOPVVGCPG-UHFFFAOYSA-N	COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00188	Bortezomib	GXJABQQUPOEUTA-RDJZCZTQSA-N	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB00189	Ethchlorvynol	ZEHYJZXQEQOSON-AATRIKPKSA-N	CCC(O)(\C=C\Cl)C#C
DB00190	Carbidopa	TZFNLOMSOLWIDK-JTQLQIEISA-N	C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191	Phentermine	DHHVAGZRUROJKS-UHFFFAOYSA-N	CC(C)(N)CC1=CC=CC=C1
DB00192	Indecainide	UCEWGESNIULAGX-UHFFFAOYSA-N	CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193	Tramadol	TVYLLZQTGLZFBW-UHFFFAOYSA-N	COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB00194	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196	Fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197	Troglitazone	GXPHKUHSUJUWKP-UHFFFAOYSA-N	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198	Oseltamivir	VSZGPKBBMSAYNT-RRFJBIMHSA-N	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199	Erythromycin	ULGZDMOVFRHVEP-RWJQBGPGSA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00200	Hydroxocobalamin	YOZNUFWCRFCGIH-WZHZPDAFSA-K	[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00201	Caffeine	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DB00202	Succinylcholine	AXOIZCJOOAYSMI-UHFFFAOYSA-N	C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203	Sildenafil	BNRNXUUZRGQAQC-UHFFFAOYSA-N	CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
DB00204	Dofetilide	IXTMWRCNAAVVAI-UHFFFAOYSA-N	CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205	Pyrimethamine	WKSAUQYGYAYLPV-UHFFFAOYSA-N	CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206	Reserpine	QEVHRUUCFGRFIF-MDEJGZGSSA-N	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00207	Azithromycin	MQTOSJVFKKJCRP-BICOPXKESA-N	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208	Ticlopidine	PHWBOXQYWZNQIN-UHFFFAOYSA-N	ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00209	Trospium	OYYDSUSKLWTMMQ-JKHIJQBDSA-N	[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
DB00210	Adapalene	LZCDAPDGXCYOEH-UHFFFAOYSA-N	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211	Midodrine	PTKSEFOSCHHMPD-UHFFFAOYSA-N	COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00213	Pantoprazole	IQPSEEYGBUAQFF-UHFFFAOYSA-N	COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214	Torasemide	NGBFQHCMQULJNZ-UHFFFAOYSA-N	CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215	Citalopram	WSEQXVZVJXJVFP-UHFFFAOYSA-N	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216	Eletriptan	PWVXXGRKLHYWKM-LJQANCHMSA-N	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217	Bethanidine	NIVZHWNOUVJHKV-UHFFFAOYSA-N	CN\C(NCC1=CC=CC=C1)=N/C
DB00218	Moxifloxacin	FABPRXSRWADJSP-MEDUHNTESA-N	[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219	Oxyphenonium	GFRUPHOKLBPHTQ-UHFFFAOYSA-N	CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220	Nelfinavir	QAGYKUNXZHXKMR-HKWSIXNMSA-N	[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221	Isoetharine	HUYWAWARQUIQLE-UHFFFAOYSA-N	CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00222	Glimepiride	WIGIZIANZCJQQY-RUCARUNLSA-N	CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
DB00223	Diflorasone	WXURHACBFYSXBI-XHIJKXOTSA-N	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224	Indinavir	CBVCZFGXHXORBI-PXQQMZJSSA-N	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00226	Guanadrel	HPBNRIOWIXYZFK-UHFFFAOYSA-N	NC(N)=NCC1COC2(CCCCC2)O1
DB00227	Lovastatin	PCZOHLXUXFIOCF-BXMDZJJMSA-N	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228	Enflurane	JPGQOUSTVILISH-UHFFFAOYSA-N	FC(F)OC(F)(F)C(F)Cl
DB00229	Cefotiam	QYQDKDWGWDOFFU-IUODEOHRSA-N	[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230	Pregabalin	AYXYPKUFHZROOJ-ZETCQYMHSA-N	CC(C)C[C@H](CN)CC(O)=O
DB00231	Temazepam	SEQDDYPDSLOBDC-UHFFFAOYSA-N	CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00233	Aminosalicylic acid	WUBBRNOQWQTFEX-UHFFFAOYSA-N	NC1=CC(O)=C(C=C1)C(O)=O
DB00234	Reboxetine	CBQGYUDMJHNJBX-RTBURBONSA-N	[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00235	Milrinone	PZRHRDRVRGEVNW-UHFFFAOYSA-N	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00237	Butabarbital	ZRIHAIZYIMGOAB-UHFFFAOYSA-N	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238	Nevirapine	NQDJXKOVJZTUJA-UHFFFAOYSA-N	CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239	Oxiconazole	QRJJEGAJXVEBNE-HKOYGPOVSA-N	ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240	Alclometasone	FJXOGVLKCZQRDN-PHCHRAKRSA-N	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241	Butalbital	UZVHFVZFNXBMQJ-UHFFFAOYSA-N	CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242	Cladribine	PTOAARAWEBMLNO-KVQBGUIXSA-N	NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243	Ranolazine	XKLMZUWKNUAPSZ-UHFFFAOYSA-N	COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244	Mesalazine	KBOPZPXVLCULAV-UHFFFAOYSA-N	NC1=CC(C(O)=O)=C(O)C=C1
DB00245	Benzatropine	GIJXKZJWITVLHI-PMOLBWCYSA-N	[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
DB00246	Ziprasidone	MVWVFYHBGMAFLY-UHFFFAOYSA-N	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247	Methysergide	KPJZHOPZRAFDTN-NQUBZZJWSA-N	[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248	Cabergoline	KORNTPPJEAJQIU-KJXAQDMKSA-N	[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00250	Dapsone	MQJKPEGWNLWLTK-UHFFFAOYSA-N	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
DB00252	Phenytoin	CXOFVDLJLONNDW-UHFFFAOYSA-N	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00253	Medrysone	GZENKSODFLBBHQ-ILSZZQPISA-N	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DB00254	Doxycycline	JBIWCJUYHHGXTC-AKNGSSGZSA-N	[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
