type	ID	Name	State	group	Gene_target	DB_id	name	Type	ATC_code
biotech	DB00019	Pegfilgrastim	liquid	approved	CSF3R	BE0000793	Granulocyte colony-stimulating factor receptor	polypeptide	L03AA13
biotech	DB00020	Sargramostim	liquid	approved	CSF2RA	BE0000628	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	polypeptide	L03AA09
biotech	DB00020	Sargramostim	liquid	approved	IL3RA	BE0001036	Interleukin-3 receptor subunit alpha	polypeptide	L03AA09
biotech	DB00020	Sargramostim	liquid	approved	CSF2RB	BE0002115	Cytokine receptor common subunit beta	polypeptide	L03AA09
biotech	DB00020	Sargramostim	liquid	approved	SDC2	BE0002116	Syndecan-2	polypeptide	L03AA09
biotech	DB00020	Sargramostim	liquid	approved	PRG2	BE0002114	Bone marrow proteoglycan	polypeptide	L03AA09
biotech	DB00022	Peginterferon alfa-2b	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB10;L03AB60
biotech	DB00022	Peginterferon alfa-2b	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB10;L03AB60
biotech	DB00024	Thyrotropin alfa	liquid	approved	TSHR	BE0000490	Thyrotropin receptor	polypeptide	H01AB01
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	F10	BE0000216	Coagulation factor X	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	F9	BE0000364	Coagulation factor IX	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	VWF	BE0001043	von Willebrand factor	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	PHYH	BE0002117	Phytanoyl-CoA dioxygenase, peroxisomal	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	ASGR2	BE0002118	Asialoglycoprotein receptor 2	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	HSPA5	BE0001098	78 kDa glucose-regulated protein	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	CALR	BE0002109	Calreticulin	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	CANX	BE0001011	Calnexin	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	LMAN1	BE0002119	Protein ERGIC-53	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	LRP1	BE0002110	Prolow-density lipoprotein receptor-related protein 1	polypeptide	B02BD02
biotech	DB00025	Antihemophilic factor, human recombinant	solid	approved	MCFD2	BE0002120	Multiple coagulation factor deficiency protein 2	polypeptide	B02BD02
biotech	DB00026	Anakinra	liquid	approved	IL1R1	BE0000565	Interleukin-1 receptor type 1	polypeptide	L04AC03
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR1A	BE0000710	High affinity immunoglobulin gamma Fc receptor I	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR1B	BE0004684	High affinity immunoglobulin gamma Fc receptor IB	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR2A	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR2B	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR2C	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR3A	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	FCGR3B	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	C3	BE0003455	Complement C3	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	C4A	BE0004685	Complement C4-A	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	C4B	BE0004686	Complement C4-B	polypeptide	NA
biotech	DB00028	Human immunoglobulin G	liquid	approved	C5	BE0000855	Complement C5	polypeptide	NA
biotech	DB00029	Anistreplase	liquid	approved	PLG	BE0000211	Plasminogen	polypeptide	B01AD03
biotech	DB00029	Anistreplase	liquid	approved	FGA	BE0000538	Fibrinogen alpha chain	polypeptide	B01AD03
biotech	DB00029	Anistreplase	liquid	approved	SERPINE1	BE0000240	Plasminogen activator inhibitor 1	polypeptide	B01AD03
biotech	DB00030	Insulin human	liquid	approved	INSR	BE0000033	Insulin receptor	polypeptide	A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
biotech	DB00030	Insulin human	liquid	approved	IGF1R	BE0000858	Insulin-like growth factor 1 receptor	polypeptide	A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
biotech	DB00030	Insulin human	liquid	approved	CPE	BE0001123	Carboxypeptidase E	polypeptide	A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
biotech	DB00030	Insulin human	liquid	approved	NOV	BE0001147	Protein NOV homolog	polypeptide	A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
biotech	DB00030	Insulin human	liquid	approved	LRP2	BE0000942	Low-density lipoprotein receptor-related protein 2	polypeptide	A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
biotech	DB00030	Insulin human	liquid	approved	IGFBP7	BE0002126	Insulin-like growth factor-binding protein 7	polypeptide	A10AC01;A10AE01;A10AB01;A10AD01;A10AF01
biotech	DB00031	Tenecteplase	liquid	approved	PLG	BE0000211	Plasminogen	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	FGA	BE0000538	Fibrinogen alpha chain	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	PLAUR	BE0000717	Urokinase plasminogen activator surface receptor	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	SERPINE1	BE0000240	Plasminogen activator inhibitor 1	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	SERPINB2	BE0000969	Plasminogen activator inhibitor 2	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	CLEC3B	BE0002104	Tetranectin	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	KRT8	BE0002105	Keratin, type II cytoskeletal 8	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	ANXA2	BE0001170	Annexin A2	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	CALR	BE0002109	Calreticulin	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	CANX	BE0001011	Calnexin	polypeptide	B01AD11
biotech	DB00031	Tenecteplase	liquid	approved	LRP1	BE0002110	Prolow-density lipoprotein receptor-related protein 1	polypeptide	B01AD11
biotech	DB00032	Menotropins	liquid	approved	FSHR	BE0000387	Follicle-stimulating hormone receptor	polypeptide	G03GA02;G03GA03
biotech	DB00032	Menotropins	liquid	approved	LHCGR	BE0000134	Lutropin-choriogonadotropic hormone receptor	polypeptide	G03GA02;G03GA03
biotech	DB00033	Interferon gamma-1b	liquid	approved	IFNGR1	BE0000711	Interferon gamma receptor 1	polypeptide	NA
biotech	DB00033	Interferon gamma-1b	liquid	approved	IFNGR2	BE0000467	Interferon gamma receptor 2	polypeptide	NA
biotech	DB00034	Interferon alfa-2a	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB04
biotech	DB00034	Interferon alfa-2a	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB04
small molecule	DB00035	Desmopressin	solid	approved	AVPR2	BE0000293	Vasopressin V2 receptor	polypeptide	H01BA02
small molecule	DB00035	Desmopressin	solid	approved	AVPR1A	BE0000165	Vasopressin V1a receptor	polypeptide	H01BA02
small molecule	DB00035	Desmopressin	solid	approved	AVPR1B	BE0000773	Vasopressin V1b receptor	polypeptide	H01BA02
biotech	DB00036	Coagulation factor VIIa Recombinant Human	liquid	approved	F10	BE0000216	Coagulation factor X	polypeptide	B02BD08
biotech	DB00036	Coagulation factor VIIa Recombinant Human	liquid	approved	TFPI	BE0000967	Tissue factor pathway inhibitor	polypeptide	B02BD08
biotech	DB00036	Coagulation factor VIIa Recombinant Human	liquid	approved	GGCX	BE0000403	Vitamin K-dependent gamma-carboxylase	polypeptide	B02BD08
biotech	DB00036	Coagulation factor VIIa Recombinant Human	liquid	approved	F7	BE0000333	Coagulation factor VII	polypeptide	B02BD08
biotech	DB00036	Coagulation factor VIIa Recombinant Human	liquid	approved	F3	BE0001178	Tissue factor	polypeptide	B02BD08
biotech	DB00038	Oprelvekin	liquid	approved	IL11RA	BE0000416	Interleukin-11 receptor subunit alpha	polypeptide	L03AC02
biotech	DB00039	Palifermin	liquid	approved	FGFR2	BE0000748	Fibroblast growth factor receptor 2	polypeptide	V03AF08
biotech	DB00039	Palifermin	liquid	approved	FGFR1	BE0002131	Fibroblast growth factor receptor 1	polypeptide	V03AF08
biotech	DB00039	Palifermin	liquid	approved	HSPG2	BE0001031	Basement membrane-specific heparan sulfate proteoglycan core protein	polypeptide	V03AF08
biotech	DB00040	Glucagon	liquid	approved	GCGR	BE0000527	Glucagon receptor	polypeptide	H04AA01
biotech	DB00040	Glucagon	liquid	approved	GLP2R	BE0002134	Glucagon-like peptide 2 receptor	polypeptide	H04AA01
biotech	DB00040	Glucagon	liquid	approved	GLP1R	BE0000857	Glucagon-like peptide 1 receptor	polypeptide	H04AA01
biotech	DB00041	Aldesleukin	liquid	approved	IL2RB	BE0000651	Interleukin-2 receptor subunit beta	polypeptide	L03AC01
biotech	DB00041	Aldesleukin	liquid	approved	IL2RA	BE0000658	Interleukin-2 receptor subunit alpha	polypeptide	L03AC01
biotech	DB00041	Aldesleukin	liquid	approved	IL2RG	BE0002102	Cytokine receptor common subunit gamma	polypeptide	L03AC01
biotech	DB00042	Botulinum toxin type B	liquid	approved	VAMP2	BE0002137	Vesicle-associated membrane protein 2	polypeptide	M03AX01
biotech	DB00042	Botulinum toxin type B	liquid	approved	VAMP1	BE0002136	Vesicle-associated membrane protein 1	polypeptide	M03AX01
biotech	DB00042	Botulinum toxin type B	liquid	approved	SYT2	BE0002138	Synaptotagmin-2	polypeptide	M03AX01
biotech	DB00043	Omalizumab	solid	approved	FCER1A	BE0000015	High affinity immunoglobulin epsilon receptor subunit alpha	polypeptide	R03DX05
biotech	DB00043	Omalizumab	solid	approved	MS4A2	BE0002139	High affinity immunoglobulin epsilon receptor subunit beta	polypeptide	R03DX05
biotech	DB00044	Lutropin alfa	liquid	approved	LHCGR	BE0000134	Lutropin-choriogonadotropic hormone receptor	polypeptide	G03GA07
biotech	DB00045	Lyme disease vaccine (recombinant OspA)	liquid	approved	TLR2	BE0001164	Toll-like receptor 2	polypeptide	NA
biotech	DB00046	Insulin lispro	liquid	approved	INSR	BE0000033	Insulin receptor	polypeptide	A10AC04;A10AB04;A10AD04
biotech	DB00046	Insulin lispro	liquid	approved	IGF1R	BE0000858	Insulin-like growth factor 1 receptor	polypeptide	A10AC04;A10AB04;A10AD04
biotech	DB00047	Insulin glargine	liquid	approved	INSR	BE0000033	Insulin receptor	polypeptide	A10AE54;A10AE04
biotech	DB00047	Insulin glargine	liquid	approved	IGF1R	BE0000858	Insulin-like growth factor 1 receptor	polypeptide	A10AE54;A10AE04
biotech	DB00048	Collagenase clostridium histolyticum	solid	approved	COL1A1	BE0000025	Collagen alpha-1(I) chain	polypeptide	D03BA02;M09AB02;D03BA52
biotech	DB00048	Collagenase clostridium histolyticum	solid	approved	COL2A1	BE0002140	Collagen alpha-1(II) chain	polypeptide	D03BA02;M09AB02;D03BA52
biotech	DB00048	Collagenase clostridium histolyticum	solid	approved	COL3A1	BE0002130	Collagen alpha-1(III) chain	polypeptide	D03BA02;M09AB02;D03BA52
small molecule	DB00050	Cetrorelix	solid	approved	GNRHR	BE0000203	Gonadotropin-releasing hormone receptor	polypeptide	H01CC02
small molecule	DB00050	Cetrorelix	solid	approved	LHCGR	BE0000134	Lutropin-choriogonadotropic hormone receptor	polypeptide	H01CC02
biotech	DB00051	Adalimumab	liquid	approved	TNF	BE0000704	Tumor necrosis factor	polypeptide	L04AB04
biotech	DB00052	Somatotropin	liquid	approved	GHR	BE0000075	Growth hormone receptor	polypeptide	H01AC01
biotech	DB00052	Somatotropin	liquid	approved	PRLR	BE0000345	Prolactin receptor	polypeptide	H01AC01
biotech	DB00054	Abciximab	liquid	approved	ITGB3	BE0001155	Integrin beta-3	polypeptide	B01AC13
biotech	DB00054	Abciximab	liquid	approved	ITGA2B	BE0000439	Integrin alpha-IIb	polypeptide	B01AC13
biotech	DB00054	Abciximab	liquid	approved	FCGR2A	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	polypeptide	B01AC13
biotech	DB00054	Abciximab	liquid	approved	FCGR2B	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	polypeptide	B01AC13
biotech	DB00054	Abciximab	liquid	approved	VTN	BE0001068	Vitronectin	polypeptide	B01AC13
biotech	DB00055	Drotrecogin alfa	liquid	approved	F8	BE0000016	Coagulation factor VIII	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	F5	BE0000041	Coagulation factor V	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	SERPINE1	BE0000240	Plasminogen activator inhibitor 1	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	THBD	BE0001151	Thrombomodulin	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	PROS1	BE0000943	Vitamin K-dependent protein S	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	F2	BE0000048	Prothrombin	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	PF4	BE0001129	Platelet factor 4	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	SERPINA5	BE0002112	Plasma serine protease inhibitor	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	SERPINB6	BE0002142	Serpin B6	polypeptide	B01AD10
biotech	DB00055	Drotrecogin alfa	liquid	approved	PROCR	BE0001161	Endothelial protein C receptor	polypeptide	B01AD10
biotech	DB00056	Gemtuzumab ozogamicin	liquid	approved	CD33	BE0000674	Myeloid cell surface antigen CD33	polypeptide	L01XC05
biotech	DB00056	Gemtuzumab ozogamicin	liquid	approved	FCGR3B	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	polypeptide	L01XC05
biotech	DB00056	Gemtuzumab ozogamicin	liquid	approved	FCGR3A	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	polypeptide	L01XC05
biotech	DB00056	Gemtuzumab ozogamicin	liquid	approved	FCGR1A	BE0000710	High affinity immunoglobulin gamma Fc receptor I	polypeptide	L01XC05
biotech	DB00058	Alpha-1-proteinase inhibitor	liquid	approved	ELANE	BE0000394	Neutrophil elastase	polypeptide	B02AB02
biotech	DB00060	Interferon beta-1a	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB07
biotech	DB00060	Interferon beta-1a	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB07
biotech	DB00061	Pegademase	liquid	approved	GRB2	BE0000917	Growth factor receptor-bound protein 2	polypeptide	L03AX04
biotech	DB00063	Eptifibatide	liquid	approved	ITGB3	BE0001155	Integrin beta-3	polypeptide	B01AC16
biotech	DB00065	Infliximab	liquid	approved	TNF	BE0000704	Tumor necrosis factor	polypeptide	L04AB02
biotech	DB00066	Follitropin	liquid	approved	FSHR	BE0000387	Follicle-stimulating hormone receptor	polypeptide	G03GA06;G03GA10;G03GA05
small molecule	DB00067	Vasopressin	solid	approved	AVPR2	BE0000293	Vasopressin V2 receptor	polypeptide	NA
small molecule	DB00067	Vasopressin	solid	approved	AVPR1A	BE0000165	Vasopressin V1a receptor	polypeptide	NA
small molecule	DB00067	Vasopressin	solid	approved	AVPR1B	BE0000773	Vasopressin V1b receptor	polypeptide	NA
small molecule	DB00067	Vasopressin	solid	approved	OXTR	BE0000844	Oxytocin receptor	polypeptide	NA
biotech	DB00068	Interferon beta-1b	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB08
biotech	DB00068	Interferon beta-1b	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB08
biotech	DB00069	Interferon alfacon-1	liquid	approved	IFNAR1	BE0000661	Interferon alpha/beta receptor 1	polypeptide	L03AB09
biotech	DB00069	Interferon alfacon-1	liquid	approved	IFNAR2	BE0000385	Interferon alpha/beta receptor 2	polypeptide	L03AB09
biotech	DB00070	Hyaluronidase (ovine)	liquid	approved	TGFB1	BE0000984	Transforming growth factor beta-1	polypeptide	NA
biotech	DB00071	Insulin pork	liquid	approved	INSR	BE0000033	Insulin receptor	polypeptide	A10AC03;A10AB03;A10AE03;A10AD03
biotech	DB00071	Insulin pork	liquid	approved	IGF1R	BE0000858	Insulin-like growth factor 1 receptor	polypeptide	A10AC03;A10AB03;A10AE03;A10AD03
biotech	DB00072	Trastuzumab	solid	approved	ERBB2	BE0000511	Receptor tyrosine-protein kinase erbB-2	polypeptide	L01XC03
biotech	DB00073	Rituximab	liquid	approved	MS4A1	BE0000066	B-lymphocyte antigen CD20	polypeptide	L01XC02
biotech	DB00074	Basiliximab	liquid	approved	IL2RA	BE0000658	Interleukin-2 receptor subunit alpha	polypeptide	L04AC02
biotech	DB00074	Basiliximab	liquid	approved	IL2RB	BE0000651	Interleukin-2 receptor subunit beta	polypeptide	L04AC02
biotech	DB00075	Muromonab	liquid	approved	CD3D	BE0003456	T-cell surface glycoprotein CD3 delta chain	polypeptide	L04AA02
biotech	DB00075	Muromonab	liquid	approved	CD3E	BE0000274	T-cell surface glycoprotein CD3 epsilon chain	polypeptide	L04AA02
biotech	DB00075	Muromonab	liquid	approved	CD3G	BE0003457	T-cell surface glycoprotein CD3 gamma chain	polypeptide	L04AA02
biotech	DB00075	Muromonab	liquid	approved	CD247	BE0003458	T-cell surface glycoprotein CD3 zeta chain	polypeptide	L04AA02
biotech	DB00075	Muromonab	liquid	approved	FCGR3B	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	polypeptide	L04AA02
biotech	DB00078	Ibritumomab tiuxetan	liquid	approved	MS4A1	BE0000066	B-lymphocyte antigen CD20	polypeptide	V10XX02
biotech	DB00081	Tositumomab	liquid	approved	MS4A1	BE0000066	B-lymphocyte antigen CD20	polypeptide	V10XA53
biotech	DB00081	Tositumomab	liquid	approved	FCGR2B	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	polypeptide	V10XA53
biotech	DB00082	Pegvisomant	liquid	approved	GHR	BE0000075	Growth hormone receptor	polypeptide	H01AX01
biotech	DB00083	Botulinum toxin type A	solid	approved	SNAP25	BE0000390	Synaptosomal-associated protein 25	polypeptide	M03AX01
biotech	DB00083	Botulinum toxin type A	solid	approved	RHOB	BE0003572	Rho-related GTP-binding protein RhoB	polypeptide	M03AX01
biotech	DB00086	Streptokinase	liquid	approved	PLG	BE0000211	Plasminogen	polypeptide	B01AD01;B06AA55
biotech	DB00086	Streptokinase	liquid	approved	F2R	BE0000928	Proteinase-activated receptor 1	polypeptide	B01AD01;B06AA55
biotech	DB00087	Alemtuzumab	liquid	approved	CD52	BE0000083	CAMPATH-1 antigen	polypeptide	L04AA34
biotech	DB00087	Alemtuzumab	liquid	approved	FCGR3B	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	polypeptide	L04AA34
biotech	DB00087	Alemtuzumab	liquid	approved	FCGR3A	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	polypeptide	L04AA34
biotech	DB00087	Alemtuzumab	liquid	approved	FCGR1A	BE0000710	High affinity immunoglobulin gamma Fc receptor I	polypeptide	L04AA34
biotech	DB00087	Alemtuzumab	liquid	approved	FCGR2A	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	polypeptide	L04AA34
biotech	DB00087	Alemtuzumab	liquid	approved	FCGR2B	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	polypeptide	L04AA34
biotech	DB00087	Alemtuzumab	liquid	approved	FCGR2C	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	polypeptide	L04AA34
biotech	DB00089	Capromab pendetide	liquid	approved	FOLH1	BE0000568	Glutamate carboxypeptidase 2	polypeptide	V09IB04
small molecule	DB00091	Cyclosporine	solid	approved	CAMLG	BE0000379	Calcium signal-modulating cyclophilin ligand	polypeptide	L04AD01;S01XA18
small molecule	DB00091	Cyclosporine	solid	approved	PPP3R2	BE0002143	Calcineurin subunit B type 2	polypeptide	L04AD01;S01XA18
small molecule	DB00091	Cyclosporine	solid	approved	PPIA	BE0001014	Peptidyl-prolyl cis-trans isomerase A	polypeptide	L04AD01;S01XA18
small molecule	DB00091	Cyclosporine	solid	approved	PPIF	BE0001399	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	polypeptide	L04AD01;S01XA18
