drug	gene
Acetaminophen	PTGES3
Acetaminophen	PTGS1
Acetaminophen	PTGS2
Acetaminophen	SULT1A1
Acetaminophen	SULT1A3
Acetaminophen	TRPV1
Acetaminophen	UGT1A1
Acetaminophen	UGT1A6
Acetaminophen	UGT1A9
Acetaminophen	UGT2B15
Acetazolamide	AQP1
Acetazolamide	CA1
Acetazolamide	CA12
Acetazolamide	CA14
Acetazolamide	CA2
Acetazolamide	CA3
Acetazolamide	CA4
Acetazolamide	CA7
Acetazolamide	CYP3A4
Acetazolamide	SLC22A6
Acetic acid	SLC16A1
Acetic acid	SLCO2B1
Acetohexamide	ALB
Acetohexamide	CBR1
Acetohexamide	CYP2C9
Acetohexamide	KCNJ1
Acetohydroxamic acid	MMP12
Acetophenazine	AR
Acetophenazine	DRD2
Acetylcarnitine	SLC22A5
Acetylcholine	ACHE
Acetylcholine	CHRM1
Acetylcholine	CHRM2
Acetylcholine	CHRM3
Acetylcholine	CHRM4
Acetylcholine	CHRNA7
Acetylcholine	SLC22A1
Acetylcholine	SLC22A5
Acetylcysteine	ACY1
Acetylcysteine	ALB
Acetylcysteine	CHUK
Acetylcysteine	GRIN1
Acetylcysteine	GRIN2A
Acetylcysteine	GRIN2B
Acetylcysteine	GRIN2D
Acetylcysteine	GRIN3A
Acetylcysteine	GSS
Acetylcysteine	IKBKB
Acetylcysteine	SLC22A6
Acetylcysteine	SLC7A11
Acetylcysteine	SLCO1B1
Acetyldigitoxin	ATP1A1
Acetylsalicylic acid	ABCB1
Acetylsalicylic acid	AKR1C1
Acetylsalicylic acid	CASP1
Acetylsalicylic acid	CASP3
Acetylsalicylic acid	CCND1
Acetylsalicylic acid	CYP2C19
Acetylsalicylic acid	CYP2C9
Acetylsalicylic acid	EDNRA
Acetylsalicylic acid	HSPA5
Acetylsalicylic acid	IKBKB
Acetylsalicylic acid	MAPK1
Acetylsalicylic acid	MYC
Acetylsalicylic acid	NAT2
Acetylsalicylic acid	NEU1
Acetylsalicylic acid	NFKBIA
Acetylsalicylic acid	PCNA
Acetylsalicylic acid	PRKAA1
Acetylsalicylic acid	PTGS1
Acetylsalicylic acid	PTGS2
Acetylsalicylic acid	RPS6KA3
Acetylsalicylic acid	SLC22A6
Acetylsalicylic acid	SLC22A8
Acetylsalicylic acid	TNFAIP6
Acetylsalicylic acid	TP53
Acetylsalicylic acid	UGT1A6
Acetyl sulfisoxazole	CYP2C9
Acitretin	ALB
Acitretin	RARA
Acitretin	RARB
Acitretin	RARG
Acitretin	RBP1
Acitretin	RXRA
Acitretin	RXRB
Acitretin	RXRG
Aclidinium	BCHE
Aclidinium	CHRM1
Aclidinium	CHRM2
Aclidinium	CHRM3
Aclidinium	CHRM4
Aclidinium	CHRM5
Acrivastine	HRH1
Acyclovir	ADSSL1
Acyclovir	ALB
Acyclovir	CKB
Acyclovir	GUK1
Acyclovir	NME1
Acyclovir	PCK2
Acyclovir	PGK1
Acyclovir	PKLR
Acyclovir	SLC10A2
Acyclovir	SLC22A1
Acyclovir	SLC22A6
Acyclovir	SLC22A8
Acyclovir	SLC47A1
Acyclovir	SLC47A2
Acyclovir	SUCLA2
Adalimumab	TNF
Adapalene	GOT1
Adapalene	JUN
Adapalene	RARA
Adapalene	RARB
Adapalene	RARG
Adapalene	RXRA
Adapalene	RXRB
Adapalene	RXRG
Adapalene	TLR2
Adefovir dipivoxil	ABCC4
Adefovir dipivoxil	ABCC5
Adefovir dipivoxil	AK2
Adefovir dipivoxil	AK4
Adefovir dipivoxil	NME1
Adefovir dipivoxil	NME2
Adefovir dipivoxil	SLC22A3
Adefovir dipivoxil	SLC22A6
Ademetionine	AMD1
Ademetionine	AS3MT
Ademetionine	CBS
Ademetionine	CMTR1
Ademetionine	COMT
Ademetionine	CYP2E1
Ademetionine	GNMT
Ademetionine	MAT1A
Ademetionine	MAT2A
Ademetionine	SRM
Adenine	ACACB
Adenine	ACP1
Adenine	APRT
Adenine	MTAP
Adenine	PECR
Adenine	SRPK2
Adenine	UGT1A1
Adenosine	ADA
Adenosine	ADK
Adenosine	ADORA1
Adenosine	ADORA2A
Adenosine	ADORA2B
Adenosine	ADORA3
Adenosine	AK1
Adenosine	ALB
Adenosine	GJA1
Adenosine	NME1
Adenosine	NME2
Adenosine phosphate	ACSL1
Adenosine phosphate	ACSS2
Adenosine phosphate	ADCY1
Adenosine phosphate	ADK
Adenosine phosphate	AMPD1
Adenosine phosphate	APRT
Adenosine phosphate	CREB1
Adenosine phosphate	FBP1
Adenosine phosphate	HINT1
Adenosine phosphate	PDE4B
Adenosine phosphate	PDE4D
Adenosine phosphate	PRKAA1
Adenosine phosphate	PRKAB1
Adenosine	PNP
Adenosine	SLC28A1
Adenosine	SLC28A2
Adenosine	SLC28A3
Adenosine	SLC29A1
Adenosine	SLC29A2
Adenosine	SLC29A3
Adenosine	SLC29A4
Adenosine	XDH
Aducanumab	APP
Afamelanotide	MC1R
Afatinib	ABCB1
Afatinib	ABCG2
Afatinib	EGFR
Afatinib	ERBB2
Afatinib	ERBB4
Aflibercept	PGF
Aflibercept	VEGFA
Aflibercept	VEGFB
Agalsidase alfa	M6PR
Agalsidase beta	M6PR
Agkistrodon piscivorus antivenin	PLA2G10
Agomelatine	CYP1A2
Agomelatine	CYP2C9
Agomelatine	HTR2C
Agomelatine	MTNR1A
Agomelatine	MTNR1B
Ajmaline	ORM1
Ajmaline	SCN5A
Albendazole	ABCB1
Albendazole	CYP1A1
Albendazole	CYP1A2
Albendazole	CYP2C19
Albendazole	CYP3A4
Albendazole	TUBA1A
Albendazole	TUBB4B
Albiglutide	GLP1R
Albutrepenonacog alfa	F10
Albutrepenonacog alfa	F8
Alcaftadine	HRH1
Alclofenac	PTGS2
Alclometasone	CYP3A4
Alclometasone	NR3C1
Alclometasone	SERPINA6
Aldesleukin	CYP2E1
Aldesleukin	CYP3A4
Aldesleukin	IL2RA
Aldesleukin	IL2RB
Aldesleukin	IL2RG
Aldesleukin	PLA2G4A
Aldesleukin	PTGS2
Aldesleukin	XDH
Alectinib	ABCB1
Alectinib	ABCG2
Alectinib	ALK
Alefacept	CD2
Alefacept	FCGR3A
Alefacept	FCGR3B
Alemtuzumab	CD52
Alemtuzumab	FCGR1A
Alemtuzumab	FCGR2A
Alemtuzumab	FCGR2B
Alemtuzumab	FCGR2C
Alemtuzumab	FCGR3A
Alemtuzumab	FCGR3B
Alendronic acid	ATP6V1A
Alendronic acid	FDPS
Alendronic acid	PTPN4
Alendronic acid	PTPRE
Alendronic acid	PTPRS
Alfacalcidol	CYP27B1
Alfacalcidol	GC
Alfacalcidol	RXRA
Alfacalcidol	VDR
Alfentanil	ABCB1
Alfentanil	ALB
Alfentanil	CYP3A4
Alfentanil	CYP3A5
Alfentanil	CYP3A7
Alfentanil	OPRM1
Alfentanil	ORM1
Alfuzosin	ABCB1
Alfuzosin	ADRA1A
Alfuzosin	ADRA1B
Alfuzosin	ADRA1D
Alfuzosin	ALB
Alfuzosin	CYP3A4
Alfuzosin	ORM1
Alglucosidase alfa	M6PR
Alimemazine	HRH1
Alirocumab	PCSK9
Aliskiren	ABCB1
Aliskiren	CYP3A4
Aliskiren	REN
Alitretinoin	ABCB1
Alitretinoin	CRABP1
Alitretinoin	CRABP2
Alitretinoin	CYP26C1
Alitretinoin	IGFBP3
Alitretinoin	PSG5
Alitretinoin	RARA
Alitretinoin	RARB
Alitretinoin	RARG
Alitretinoin	RXRA
Alitretinoin	RXRB
Alitretinoin	RXRG
Allantoin	SERPINA7
Allopurinol	ABCG2
Allopurinol	AOX1
Allopurinol	SLC22A2
Allopurinol	SLC22A7
Allopurinol	SLC22A8
Allopurinol	XDH
Almitrine	ATP1A1
Almotriptan	CYP2C19
Almotriptan	CYP2C8
Almotriptan	CYP2D6
Almotriptan	CYP2E1
Almotriptan	CYP3A4
Almotriptan	FMO3
Almotriptan	HTR1B
Almotriptan	HTR1D
Almotriptan	MAOA
Alogliptin	CYP2D6
Alogliptin	CYP3A4
Alogliptin	DPP4
Alosetron	CYP1A2
Alosetron	CYP2C9
Alosetron	CYP2E1
Alosetron	CYP3A4
Alosetron	HTR3A
Alpelisib	ABCB1
Alpelisib	ABCG2
Alpelisib	CYP2C19
Alpelisib	CYP2C8
Alpelisib	CYP2C9
Alpelisib	CYP3A4
Alpelisib	PIK3CA
Alpha-1-proteinase inhibitor	ELANE
alpha-Linolenic acid	ELOVL2
alpha-Linolenic acid	ELOVL5
alpha-Linolenic acid	FABP7
alpha-Linolenic acid	FADS1
alpha-Linolenic acid	FADS2
alpha-Linolenic acid	NR1H4
alpha-Linolenic acid	PPARA
alpha-Linolenic acid	PPARD
alpha-Linolenic acid	PPARG
alpha-Linolenic acid	RXRA
alpha-Linolenic acid	SLC8A1
alpha-Linolenic acid	TRPV1
alpha-Tocopherol acetate	ABCB1
alpha-Tocopherol acetate	APOBR
alpha-Tocopherol acetate	CYP3A4
alpha-Tocopherol acetate	CYP4F2
alpha-Tocopherol acetate	LDLR
alpha-Tocopherol acetate	SCARB1
alpha-Tocopherol acetate	SEC14L2
alpha-Tocopherol acetate	SEC14L3
alpha-Tocopherol acetate	SEC14L4
alpha-Tocopherol acetate	TTPA
alpha-Tocopherol acetate	VLDLR
alpha-Tocopherol succinate	ALOX5
alpha-Tocopherol succinate	DGKA
alpha-Tocopherol succinate	GCLC
alpha-Tocopherol succinate	GSTA2
alpha-Tocopherol succinate	GSTM3
alpha-Tocopherol succinate	GSTO1
alpha-Tocopherol succinate	GSTP1
alpha-Tocopherol succinate	HMOX1
alpha-Tocopherol succinate	NQO1
alpha-Tocopherol succinate	NR1I2
alpha-Tocopherol succinate	PRKCA
alpha-Tocopherol succinate	PRKCB
alpha-Tocopherol succinate	SEC14L2
alpha-Tocopherol succinate	SEC14L3
alpha-Tocopherol succinate	SOD1
alpha-Tocopherol succinate	TTPA
Alprazolam	ALB
Alprazolam	CYP2C9
Alprazolam	CYP3A4
Alprazolam	CYP3A5
Alprazolam	CYP3A7
Alprazolam	GABRA1
Alprazolam	ORM1
Alprostadil	ABCC4
Alprostadil	ABCC5
Alprostadil	PTGDR2
Alprostadil	PTGER1
Alprostadil	PTGER2
Alprostadil	SLC22A6
Alprostadil	SLCO2A1
Alprostadil	SLCO2B1
Alprostadil	SLCO3A1
Alteplase	FGA
Alteplase	PLAUR
Alteplase	PLG
Alteplase	SERPINE1
Aluminium	ALB
Aluminium	APP
Aluminium	ATP1A1
Aluminium	KLK1
Aluminium phosphate	ALB
Aluminium phosphate	APP
Aluminium phosphate	ATP1A1
Aluminium phosphate	KLK1
Aluminium phosphate	TF
Aluminium	TF
Aluminum acetate	ALB
Aluminum acetate	APP
Aluminum acetate	ATP1A1
Aluminum acetate	KLK1
Aluminum acetate	TF
Aluminum chloride	GLUD1
Alverine	HTR1A
Alvimopan	OPRD1
Alvimopan	OPRK1
Alvimopan	OPRM1
Amantadine	CHRNA3
Amantadine	CHRNA4
Amantadine	CHRNA7
Amantadine	DDC
Amantadine	DRD2
Amantadine	GRIN3A
Amantadine	MAOB
Amantadine	SLC22A1
Amantadine	SLC22A2
Ambenonium	ACHE
Ambenonium	BCHE
Ambrisentan	ABCB1
Ambrisentan	CYP2C19
Ambrisentan	CYP3A4
Ambrisentan	CYP3A5
Ambrisentan	EDNRA
Ambrisentan	EDNRB
Ambrisentan	SLCO1B1
Ambrisentan	SLCO1B3
Ambrisentan	UGT1A3
Ambrisentan	UGT1A9
Ambrisentan	UGT2B7
Ambroxol	CYP3A4
Amcinonide	ANXA1
Amcinonide	CYP3A4
Amcinonide	CYP3A5
Amcinonide	NR3C1
Amifampridine	KCNA1
Amifampridine	NAT1
Amifampridine	NAT2
Amifostine	ALPL
Amifostine	ALPPL2
Amiloride	AOC1
Amiloride	ASIC1
Amiloride	ASIC2
Amiloride	PLAU
Amiloride	SCNN1A
Amiloride	SCNN1B
Amiloride	SCNN1D
Amiloride	SCNN1G
Amiloride	SLC22A2
Amiloride	SLC22A4
Amiloride	SLC9A1
Aminocaproic acid	AOX1
Aminocaproic acid	LPA
Aminocaproic acid	PLAT
Aminocaproic acid	PLG
Aminoglutethimide	CYP11A1
Aminoglutethimide	CYP19A1
Aminoglutethimide	CYP2C19
Aminoglutethimide	CYP3A4
Aminohippuric acid	ABCC1
Aminohippuric acid	ABCC2
Aminohippuric acid	SLC16A1
Aminohippuric acid	SLC22A11
Aminohippuric acid	SLC22A2
Aminohippuric acid	SLC22A4
Aminohippuric acid	SLC22A5
Aminohippuric acid	SLC22A6
Aminohippuric acid	SLC22A7
Aminohippuric acid	SLC22A8
Aminohippuric acid	SLCO1A2
Aminohippuric acid	SLCO1B1
Aminohippuric acid	SLCO3A1
Aminolevulinic acid	ALAD
Aminolevulinic acid	SLC15A1
Aminolevulinic acid	SLC15A2
Aminophenazone	CYP17A1
Aminophenazone	CYP1A2
Aminophenazone	CYP2C18
Aminophenazone	CYP2C19
Aminophenazone	CYP2C8
Aminophenazone	CYP2C9
Aminophenazone	CYP2D6
Aminophenazone	CYP3A4
Aminophenazone	SLC22A6
Aminophylline	ADORA1
Aminophylline	ADORA3
Aminophylline	CYP1A2
Aminophylline	CYP2E1
Aminophylline	CYP3A4
Aminophylline	HDAC2
Aminophylline	PDE3A
Aminosalicylic acid	ALOX5
Aminosalicylic acid	CHUK
Aminosalicylic acid	MPO
Aminosalicylic acid	PLA2G2E
Aminosalicylic acid	PTGS2
Amiodarone	ABCB1
Amiodarone	ABCB11
Amiodarone	ADRB1
Amiodarone	ALB
Amiodarone	CACNA1C
Amiodarone	CACNA1I
Amiodarone	CYP1A1
Amiodarone	CYP1A2
Amiodarone	CYP2A6
Amiodarone	CYP2C19
Amiodarone	CYP2C8
Amiodarone	CYP2C9
Amiodarone	CYP2D6
Amiodarone	CYP2J2
Amiodarone	CYP3A4
Amiodarone	KCNH2
Amiodarone	PPARA
Amiodarone	PPARG
Amiodarone	PPARGC1B
Amiodarone	SLC22A2
Amiodarone	THRA
Amisulpride	ABCB1
Amisulpride	ABCG2
Amisulpride	DRD2
Amisulpride	DRD3
Amisulpride	HTR2A
Amisulpride	HTR7
Amisulpride	OPRD1
Amisulpride	OPRK1
Amisulpride	OPRM1
Amisulpride	SLC22A1
Amisulpride	SLC47A1
Amisulpride	SLC47A2
Amitriptyline	ABCB1
Amitriptyline	ADRA1A
Amitriptyline	ADRA1B
Amitriptyline	ADRA1D
Amitriptyline	ADRA2A
Amitriptyline	ALB
Amitriptyline	CHRM1
Amitriptyline	CYP1A2
Amitriptyline	CYP2B6
Amitriptyline	CYP2C19
Amitriptyline	CYP2C8
Amitriptyline	CYP2C9
Amitriptyline	CYP2D6
Amitriptyline	CYP3A4
Amitriptyline	CYP3A5
Amitriptyline	HRH1
Amitriptyline	HRH2
Amitriptyline	HRH4
Amitriptyline	HTR1A
Amitriptyline	HTR1B
Amitriptyline	HTR1D
Amitriptyline	HTR2A
Amitriptyline	HTR2C
Amitriptyline	HTR6
Amitriptyline	HTR7
Amitriptyline	KCNA1
Amitriptyline	KCNH2
Amitriptyline	KCNQ2
Amitriptyline	KCNQ3
Amitriptyline	NTRK1
Amitriptyline	NTRK2
Amitriptyline	OPRD1
Amitriptyline	OPRK1
Amitriptyline	OPRM1
Amitriptyline	ORM1
Amitriptyline	SIGMAR1
Amitriptyline	SLC6A2
Amitriptyline	SLC6A4
Amitriptyline	UGT1A4
Amitriptyline	UGT2B10
Amivantamab	EGFR
Amivantamab	FCGR3A
Amivantamab	MET
Amlexanox	FGF1
Amlexanox	IL3
Amlexanox	S100A12
Amlexanox	S100A13
Amlodipine	ABCB1
Amlodipine	CA1
Amlodipine	CACNA1B
Amlodipine	CACNA1C
Amlodipine	CACNA1I
Amlodipine	CACNA2D3
Amlodipine	CACNB1
Amlodipine	CYP1A1
Amlodipine	CYP2B6
Amlodipine	CYP2C8
Amlodipine	CYP2D6
Amlodipine	CYP3A4
Amlodipine	CYP3A5
Amlodipine	SMPD1
Ammonia	CPS1
Ammonia	GLS2
Ammonia	GLUL
Ammonia N-13	NAGS
Ammonia N-13	RHCG
Amobarbital	CHRNA4
Amobarbital	CHRNA7
Amobarbital	GABRA1
Amobarbital	GABRA2
Amobarbital	GABRA3
Amobarbital	GABRA4
Amobarbital	GABRA5
Amobarbital	GABRA6
Amobarbital	GRIA2
Amobarbital	GRIK2
Amodiaquine	ABCB1
Amodiaquine	CYP1A1
Amodiaquine	CYP1B1
Amodiaquine	CYP2C8
Amodiaquine	CYP2C9
Amodiaquine	CYP2D6
Amodiaquine	HNMT
Amoxapine	ADRA1A
Amoxapine	ADRA2A
Amoxapine	CHRM1
Amoxapine	CYP2D6
Amoxapine	DRD1
Amoxapine	DRD2
Amoxapine	DRD3
Amoxapine	DRD4
Amoxapine	GABRA1
Amoxapine	HRH1
Amoxapine	HRH4
Amoxapine	HTR1A
Amoxapine	HTR1B
Amoxapine	HTR2A
Amoxapine	HTR2B
Amoxapine	HTR2C
Amoxapine	HTR3A
Amoxapine	HTR6
Amoxapine	HTR7
Amoxapine	ORM1
Amoxapine	SLC6A2
Amoxapine	SLC6A3
Amoxapine	SLC6A4
Amoxicillin	ALB
Amoxicillin	CYP2C8
Amoxicillin	SLC15A1
Amoxicillin	SLC15A2
Amoxicillin	SLC22A6
Amphetamine	ADRA1A
Amphetamine	ADRB1
Amphetamine	CARTPT
Amphetamine	CYP2A6
Amphetamine	CYP2D6
Amphetamine	DRD2
Amphetamine	MAOA
Amphetamine	MAOB
Amphetamine	SLC18A2
Amphetamine	SLC22A3
Amphetamine	SLC22A5
Amphetamine	SLC6A2
Amphetamine	SLC6A3
Amphetamine	SLC6A4
Amphetamine	TAAR1
Amphetamine	VMAT2
Ampicillin	ALB
Ampicillin	SLC15A1
Ampicillin	SLC15A2
Ampicillin	SLC16A1
Ampicillin	SLC22A5
Ampicillin	TEK
Amprenavir	ABCB1
Amprenavir	ABCC1
Amprenavir	CYP2B6
Amprenavir	CYP2C19
Amprenavir	CYP2C9
Amprenavir	CYP2D6
Amprenavir	CYP3A4
Amprenavir	CYP3A5
Amprenavir	SLCO1B1
Amrinone	PDE3A
Amrinone	PDE3B
Amrinone	PDE4A
Amrinone	TNF
Amsacrine	ABCB1
Amsacrine	ALB
Amsacrine	KCNH2
Amsacrine	ORM1
Amsacrine	TOP2A
Amylmetacresol	SCN2A
Amyl Nitrite	ALDH2
Amyl Nitrite	NPR1
Amylocaine	SCN1A
Anagrelide	CYP1A2
Anagrelide	PDE3A
Anakinra	IL1R1
Anastrozole	ABCB1
Anastrozole	CYP19A1
Anastrozole	CYP1A2
Anastrozole	CYP2C8
Anastrozole	CYP2C9
Anastrozole	CYP3A4
Anastrozole	CYP3A5
Anastrozole	UGT1A3
Anastrozole	UGT1A4
Anastrozole	UGT2B7
Ancestim	KIT
Ancrod	FGA
Andexanet alfa	TFPI
Angiotensin II	AGTR1
Anifrolumab	IFNAR1
Anileridine	OPRM1
Anisindione	GGCX
Anisotropine methylbromide	CHRM1
Anisotropine methylbromide	CHRM2
Anisotropine methylbromide	CHRM3
Anistreplase	FGA
Anistreplase	PLG
Anistreplase	SERPINE1
Antazoline	HRH1
Anthralin	KRT12
Anthralin	KRT2
Anthralin	MAPK8IP1
Antihemophilic factor human	F10
Antihemophilic factor human	F9
Antihemophilic factor human	PROC
Antihemophilic factor, human recombinant	ASGR2
Antihemophilic factor, human recombinant	CALR
Antihemophilic factor, human recombinant	CANX
Antihemophilic factor, human recombinant	F10
Antihemophilic factor, human recombinant	F2
Antihemophilic factor, human recombinant	F9
Antihemophilic factor, human recombinant	HSPA5
Antihemophilic factor, human recombinant	LMAN1
Antihemophilic factor, human recombinant	LRP1
Antihemophilic factor, human recombinant	MCFD2
Antihemophilic factor, human recombinant	PHYH
Antihemophilic factor, human recombinant	PROC
Antihemophilic factor, human recombinant	VWF
Antihemophilic factor (recombinant), PEGylated	VWF
Anti-inhibitor coagulant complex	F10
Anti-inhibitor coagulant complex	F13A1
Anti-inhibitor coagulant complex	F2
Anti-inhibitor coagulant complex	F5
Anti-inhibitor coagulant complex	F7
Anti-inhibitor coagulant complex	F8
Anti-inhibitor coagulant complex	FGA
Anti-inhibitor coagulant complex	FGB
Antipyrine	CYP1A2
Antipyrine	CYP2A6
Antipyrine	CYP2B6
Antipyrine	CYP2C18
Antipyrine	CYP2C19
Antipyrine	CYP2C8
Antipyrine	CYP2C9
Antipyrine	CYP2D6
Antipyrine	CYP2E1
Antipyrine	CYP3A4
Antipyrine	PTGS1
Antipyrine	PTGS2
Antipyrine	SLC22A6
Antithrombin Alfa	F10
Antithrombin Alfa	F2
Antithrombin III human	SERPINC1
Antithymocyte immunoglobulin (rabbit)	CD1A
Antithymocyte immunoglobulin (rabbit)	CD4
Antithymocyte immunoglobulin (rabbit)	CD86
Antithymocyte immunoglobulin (rabbit)	FCGR2B
Antithymocyte immunoglobulin (rabbit)	ITGAL
Antithymocyte immunoglobulin (rabbit)	ITGAV
Antithymocyte immunoglobulin (rabbit)	ITGB1
Antithymocyte immunoglobulin (rabbit)	ITGB3
Antithymocyte immunoglobulin (rabbit)	MR1
Antrafenine	PTGS1
Antrafenine	PTGS2
Apalutamide	ABCB1
Apalutamide	ABCG2
Apalutamide	AR
Apalutamide	CYP2C19
Apalutamide	CYP2C8
Apalutamide	CYP2C9
Apalutamide	CYP3A4
Apalutamide	GABRA1
Apalutamide	SLC22A2
Apalutamide	SLC22A8
Apalutamide	SLC47A1
Apalutamide	SLC47A2
Apalutamide	SLCO1B1
Apixaban	ABCB1
Apixaban	ABCG2
Apixaban	CYP1A2
Apixaban	CYP2C19
Apixaban	CYP2C8
Apixaban	CYP2C9
Apixaban	CYP2J2
Apixaban	CYP3A4
Apixaban	CYP3A5
Apixaban	F10
Apomorphine	ADRA2A
Apomorphine	ADRA2B
Apomorphine	ADRA2C
Apomorphine	ALB
Apomorphine	COMT
Apomorphine	CYP2B6
Apomorphine	CYP2C8
Apomorphine	CYP3A4
Apomorphine	CYP3A5
Apomorphine	DRD1
Apomorphine	DRD2
Apomorphine	DRD3
Apomorphine	DRD4
Apomorphine	DRD5
Apomorphine	HTR1A
Apomorphine	HTR1B
Apomorphine	HTR1D
Apomorphine	HTR2A
Apomorphine	HTR2B
Apomorphine	HTR2C
Apomorphine	SLC18A2
Apomorphine	SULT1A1
Apomorphine	SULT1A2
Apomorphine	SULT1A3
Apomorphine	SULT1B1
Apomorphine	SULT1E1
Apomorphine	UGT1A1
Apraclonidine	ADRA1A
Apraclonidine	ADRA2A
Apraclonidine	ADRA2B
Apremilast	ABCB1
Apremilast	CYP1A2
Apremilast	CYP2A6
Apremilast	CYP3A4
Apremilast	PDE4
Aprepitant	CYP2C19
Aprepitant	CYP2C9
Aprepitant	CYP3A4
Aprepitant	TACR1
Aprotinin	BCHE
Aprotinin	CTRB1
Aprotinin	KLK1
Aprotinin	PLG
Aprotinin	PRSS1
Arbutamine	ADRB1
Arbutamine	ADRB2
Arbutamine	ADRB3
Arbutin	ALB
Arbutin	TYR
Ardeparin	SERPINC1
Ardeparin	SERPIND1
Arformoterol	ADRB2
Arformoterol	CYP2A6
Arformoterol	CYP2C19
Arformoterol	CYP2C9
Arformoterol	CYP2D6
Argatroban	ALB
Argatroban	CYP3A4
Argatroban	CYP3A5
Argatroban	F2
Argatroban	ORM1
Aripiprazole	ADRA1A
Aripiprazole	ADRA1B
Aripiprazole	ADRA2A
Aripiprazole	ADRA2B
Aripiprazole	ADRA2C
Aripiprazole	ADRB1
Aripiprazole	ADRB2
Aripiprazole	ALB
Aripiprazole	CHRM1
Aripiprazole	CHRM2
Aripiprazole	CHRM3
Aripiprazole	CHRM4
Aripiprazole	CHRM5
Aripiprazole	CYP2D6
Aripiprazole	CYP3A4
Aripiprazole	CYP3A5
Aripiprazole	CYP3A7
Aripiprazole	DRD1
Aripiprazole	DRD2
Aripiprazole	DRD3
Aripiprazole	DRD4
Aripiprazole	DRD5
Aripiprazole	GRIN1
Aripiprazole	HRH1
Aripiprazole	HRH2
Aripiprazole	HRH3
Aripiprazole	HRH4
Aripiprazole	HTR1A
Aripiprazole	HTR1B
Aripiprazole	HTR1D
Aripiprazole	HTR1E
Aripiprazole	HTR2A
Aripiprazole	HTR2B
Aripiprazole	HTR2C
Aripiprazole	HTR3A
Aripiprazole	HTR5A
Aripiprazole	HTR6
Aripiprazole	HTR7
Aripiprazole lauroxil	ADRA1A
Aripiprazole lauroxil	ADRA1B
Aripiprazole lauroxil	ADRA2A
Aripiprazole lauroxil	ADRA2B
Aripiprazole lauroxil	ADRA2C
Aripiprazole lauroxil	ALB
Aripiprazole lauroxil	CHRM1
Aripiprazole lauroxil	CHRM2
Aripiprazole lauroxil	CHRM3
Aripiprazole lauroxil	CHRM4
Aripiprazole lauroxil	CHRM5
Aripiprazole lauroxil	CYP2D6
Aripiprazole lauroxil	CYP3A4
Aripiprazole lauroxil	CYP3A5
Aripiprazole lauroxil	CYP3A7
Aripiprazole lauroxil	DRD1
Aripiprazole lauroxil	DRD2
Aripiprazole lauroxil	DRD3
Aripiprazole lauroxil	DRD4
Aripiprazole lauroxil	DRD5
