disease	category
ovarian neoplasms	Endocrine;Neoplasms
overnutrition	Metabolic
overweight	Metabolic
pancreatic diseases	Digestive
panuveitis	Others
parkinson disease	Nervous system
parkinsonian disorders	Nervous system
pathologic processes	Others
pathological conditions, anatomical	Others
pathological conditions, signs and symptoms	Others
peripheral nervous system diseases	Nervous system
peroxisomal disorders	Congenital;Metabolic
pigmentation disorders	Others
polyneuropathies	Nervous system
precursor cell lymphoblastic leukemia-lymphoma	Immune system;Neoplasms
prostatic diseases	Others
prostatic neoplasms	Neoplasms
proteinuria	Others
proteostasis deficiencies	Metabolic
psoriasis	Others
purine-pyrimidine metabolism, inborn errors	Congenital;Metabolic
rectal diseases	Digestive
renal tubular transport, inborn errors	Congenital;Metabolic
respiratory hypersensitivity	Immune system
respiratory tract diseases	Others
respiratory tract neoplasms	Neoplasms
retinal degeneration	Others
retinal diseases	Others
retinal dystrophies	Others
retinitis pigmentosa	Congenital
rheumatic diseases	Others
sarcoma	Neoplasms
sensation disorders	Nervous system
signs and symptoms	Others
skin abnormalities	Congenital
skin and connective tissue diseases	Others
skin diseases	Others
skin diseases, genetic	Congenital
skin diseases, papulosquamous	Others
skin diseases, vascular	Others
sleep disorders	Nervous system
spastic paraplegia, hereditary	Congenital;Nervous system
spinal cord diseases	Nervous system
spinal diseases	Others
spinocerebellar ataxias	Congenital;Nervous system
spinocerebellar degenerations	Congenital;Nervous system
spondylarthritis	Others
spondylarthropathies	Others
spondylitis	Infectious
spondylitis, ankylosing	Others
stomatognathic diseases	Others
stomatognathic system abnormalities	Congenital
tauopathies	Nervous system
tdp-43 proteinopathies	Metabolic;Nervous system
thoracic neoplasms	Neoplasms
thyroid diseases	Endocrine
urination disorders	Others
urogenital abnormalities	Congenital
urogenital neoplasms	Neoplasms
urologic diseases	Others
urologic neoplasms	Neoplasms
urological manifestations	Others
uveal diseases	Others
uveitis	Others
uveitis, anterior	Others
varicose veins	Cardiovascular
vascular diseases	Cardiovascular
vasculitis	Cardiovascular
virus diseases	Infectious
vision disorders	Nervous system
