disease	gene
abnormalities, multiple	CISD2
abnormalities, multiple	ADAMTS10
abnormalities, multiple	SMC1A
abnormalities, multiple	NFKBIA
abnormalities, multiple	UBE3A
abnormalities, multiple	SHH
abnormalities, multiple	BBS12
abnormalities, multiple	PEX5
abnormalities, multiple	LMX1B
abnormalities, multiple	OFD1
abnormalities, multiple	NIPBL
abnormalities, multiple	PEX26
abnormalities, multiple	NOTCH2
abnormalities, multiple	WFS1
abnormalities, multiple	MKS1
abnormalities, multiple	CDON
actinomycetales infections	IL12B
actinomycetales infections	IKBKG
actinomycetales infections	IL12RB1
actinomycetales infections	IFNGR1
actinomycetales infections	STAT1
actinomycetales infections	IFNGR2
actinomycetales infections	CYBB
actinomycetales infections	HLA-DRB5
actinomycetales infections	PKD1L1
actinomycetales infections	SNX20
abnormalities, multiple	KIF7
abnormalities, multiple	COL11A2
abnormalities, multiple	TP63
abnormalities, multiple	GDF1
abnormalities, multiple	PEX6
abnormalities, multiple	EYA1
abnormalities, multiple	USH1C
abnormalities, multiple	PAX3
abnormalities, multiple	PEX19
abnormalities, multiple	PEX2
abnormalities, multiple	TGIF1
abnormalities, multiple	FRAS1
abnormalities, multiple	ARHGAP31
abnormalities, multiple	SMOC1
abnormalities, multiple	RAI1
abnormalities, multiple	IGF2
abnormalities, multiple	USH2A
abnormalities, multiple	BRAF
abnormalities, multiple	TGFBR1
abnormalities, multiple	CDH23
abnormalities, multiple	EDARADD
abnormalities, multiple	MFAP4
abnormalities, multiple	INSR
abnormalities, multiple	TGFBR2
abnormalities, multiple	FGFR3
abnormalities, multiple	FLII
abnormalities, multiple	MYO7A
abnormalities, multiple	ERCC2
abnormalities, multiple	BBS10
abnormalities, multiple	CFC1
abnormalities, multiple	GJB6
abnormalities, multiple	WNT10A
abnormalities, multiple	CREBBP
abnormalities, multiple	SNAI2
abnormalities, multiple	MPLKIP
abnormalities, multiple	TAFAZZIN
abnormalities, multiple	ATP10A
abnormalities, multiple	TBX4
abnormalities, multiple	TTC21B
abnormalities, multiple	MID1
abnormalities, multiple	MITF
abnormalities, multiple	SOX10
abnormalities, multiple	PKP1
abnormalities, multiple	MSX1
abnormalities, multiple	SIX3
abnormalities, multiple	ERCC3
abnormalities, multiple	PORCN
abnormalities, multiple	ERCC6
abnormalities, multiple	IKBKG
abnormalities, multiple	BBS4
abnormalities, multiple	BBS1
abnormalities, multiple	BBS2
abnormalities, multiple	CEP290
abnormalities, multiple	USH1G
abnormalities, multiple	PCDH15
abnormalities, multiple	BBS5
abnormalities, multiple	TFAP2A
abnormalities, multiple	HRAS
abnormalities, multiple	MYH8
abnormalities, multiple	DTNA
abnormalities, multiple	NKX2-6
abnormalities, multiple	WDPCP
abnormalities, multiple	PDZD7
abnormalities, multiple	NEK1
abnormalities, multiple	PRKAR1A
abnormalities, multiple	DHODH
abnormalities, multiple	BLM
abnormalities, multiple	CHD7
abnormalities, multiple	OCRL
abnormalities, multiple	ZIC2
abnormalities, multiple	ZIC3
abnormalities, multiple	PEX3
abnormalities, multiple	SMC3
abnormalities, multiple	TWIST2
abnormalities, multiple	KRT16
abnormalities, multiple	EDN3
abnormalities, multiple	DYNC2H1
abnormalities, multiple	FBN1
abnormalities, multiple	BBS9
abnormalities, multiple	MKKS
abnormalities, multiple	ITGB4
abnormalities, multiple	FREM2
abnormalities, multiple	JAG1
abnormalities, multiple	EDAR
abnormalities, multiple	ADGRV1
abnormalities, multiple	KRT86
abnormalities, multiple	PEX16
abnormalities, multiple	WHRN
abnormalities, multiple	PTPN11
abnormalities, multiple	EVC
abnormalities, multiple	RAF1
abnormalities, multiple	EDNRB
abnormalities, multiple	ALMS1
abnormalities, multiple	NODAL
abnormalities, multiple	KRT81
abnormalities, multiple	GTF2H5
abnormalities, multiple	SPINK5
abnormalities, multiple	PEPD
abnormalities, multiple	ARL6
abnormalities, multiple	KRT83
abnormalities, multiple	CDKN1C
abnormalities, multiple	NECTIN1
abnormalities, multiple	UVRAG
abnormalities, multiple	CLRN1
abnormalities, multiple	SIX1
abnormalities, multiple	GLI2
abnormalities, multiple	GLI3
abnormalities, multiple	EVC2
abnormalities, multiple	ERCC8
abnormalities, multiple	SMAD3
abnormalities, multiple	TRIM32
abnormalities, multiple	SIX5
abnormalities, multiple	NSD1
abnormalities, multiple	DHCR7
abnormalities, multiple	TBX1
abnormalities, multiple	EDA
abnormalities, multiple	PTEN
abnormalities, multiple	TTC8
abnormalities, multiple	PEX14
abnormalities, multiple	TMEM67
abnormalities, multiple	PTCH1
abnormalities, multiple	PEX12
abnormalities, multiple	PEX10
abnormalities, multiple	EP300
abnormalities, multiple	MECP2
abnormalities, multiple	WDR35
abnormalities, multiple	AKT1
abnormalities, multiple	BBS7
abnormalities, multiple	CISD2
abnormalities, multiple	ADAMTS10
abnormalities, multiple	SMC1A
abnormalities, multiple	NFKBIA
abnormalities, multiple	UBE3A
abnormalities, multiple	SHH
abnormalities, multiple	BBS12
abnormalities, multiple	PEX5
abnormalities, multiple	LMX1B
abnormalities, multiple	OFD1
abnormalities, multiple	NIPBL
abnormalities, multiple	PEX26
abnormalities, multiple	NOTCH2
abnormalities, multiple	WFS1
abnormalities, multiple	MKS1
abnormalities, multiple	CDON
actinomycetales infections	IL12B
actinomycetales infections	IKBKG
actinomycetales infections	IL12RB1
actinomycetales infections	IFNGR1
actinomycetales infections	STAT1
actinomycetales infections	IFNGR2
actinomycetales infections	CYBB
actinomycetales infections	HLA-DRB5
actinomycetales infections	PKD1L1
actinomycetales infections	SNX20
actinomycetales infections	ADGB
actinomycetales infections	CYLD
actinomycetales infections	HLA-DRA
actinomycetales infections	HLA-DRB1
actinomycetales infections	TNFSF15
actinomycetales infections	OSGIN2
actinomycetales infections	RBBP8
actinomycetales infections	MICB
actinomycetales infections	SALL1
actinomycetales infections	HLA-DQB1
actinomycetales infections	HLA-DQA2
actinomycetales infections	COA1
actinomycetales infections	C1orf141
actinomycetales infections	IL23R
actinomycetales infections	RIPK2
actinomycetales infections	NOD2
actinomycetales infections	LACC1
actinomycetales infections	CCDC122
actinomycetales infections	BTNL2
adenocarcinoma	PIK3CA
adenocarcinoma	TFE3
adenocarcinoma	SLC49A4
adenocarcinoma	TP53
adenocarcinoma	PRCC
adenocarcinoma	APC
adenocarcinoma	OGG1
adenocarcinoma	CDKN3
adenocarcinoma	ZDHHC2
adenocarcinoma	NONO
adenocarcinoma	HSPBAP1
adenocarcinoma	PBRM1
adenocarcinoma	AXIN1
adenocarcinoma	MET
adenocarcinoma	RNF139
adenocarcinoma	FH
adenocarcinoma	SFPQ
adenocarcinoma	SDHD
adenocarcinoma	FLCN
adenocarcinoma	RET
adenocarcinoma	LITAF
adenocarcinoma	ASPSCR1
adenocarcinoma	MTUS1
adenocarcinoma	VHL
adenocarcinoma	CCND1
adenocarcinoma	SSPN
adenocarcinoma	HLA-DQB1
adenocarcinoma	HLA-DQA2
adenocarcinoma	SCARB1
adenocarcinoma	ITPR2
adenocarcinoma	EPAS1
adenocarcinoma	KIF1B
adnexal diseases	FOXL2
adnexal diseases	POF1B
adnexal diseases	PIK3CA
adnexal diseases	MSLN
adnexal diseases	DICER1
adnexal diseases	RAD51C
adnexal diseases	PRKN
adnexal diseases	DIAPH2
adnexal diseases	AKT1
adnexal diseases	BRCA2
adnexal diseases	CDH1
adnexal diseases	BRCA1
adnexal diseases	NOBOX
adnexal diseases	RRAS2
adnexal diseases	RAD51D
adnexal diseases	CTNNB1
adnexal diseases	BMP15
adnexal diseases	FIGLA
adnexal diseases	FMR1
adnexal diseases	FSHR
adnexal diseases	OPCML
adnexal diseases	NR5A1
adnexal diseases	ERBB2
adnexal diseases	HOXD3
adnexal diseases	BNC2
adnexal diseases	HOXD1
adnexal diseases	GSDMC
adnexal diseases	STON1-GTF2A1L
adnexal diseases	LHCGR
adnexal diseases	DENND1A
adnexal diseases	THADA
adrenal gland diseases	GNAS
adrenal gland diseases	KCNJ1
adrenal gland diseases	AAAS
adrenal gland diseases	CYP21A2
adrenal gland diseases	CLCNKB
adrenal gland diseases	TP53
adrenal gland diseases	ACOX1
adrenal gland diseases	SLC12A1
adrenal gland diseases	STAR
adrenal gland diseases	NR0B1
adrenal gland diseases	CYP11B1
adrenal gland diseases	CYP11B2
adrenal gland diseases	CLCNKA
adrenal gland diseases	BSND
adrenal gland diseases	ABCD1
adrenal gland diseases	KCNJ5
adrenal gland diseases	PRKAR1A
adrenal gland diseases	CYP17A1
adrenal gland diseases	NR5A1
adrenal gland diseases	HSD3B2
albuminuria	KCND2
albuminuria	PARD3B
albuminuria	OLIG1
albuminuria	SSBP2
albuminuria	MREG
albuminuria	TLL1
albuminuria	F3
albuminuria	CCSER1
albuminuria	ICOS
albuminuria	ANKRD7
albuminuria	SLC44A3
albuminuria	ST8SIA4
albuminuria	FGF20
albuminuria	DPP4
albuminuria	CENPC
albuminuria	MICU3
albuminuria	EIF3A
albuminuria	CUBN
albuminuria	MALRD1
albuminuria	CDKAL1
alzheimer disease	RALGPS2
alzheimer disease	GBA
alzheimer disease	TYROBP
alzheimer disease	SNCAIP
alzheimer disease	MT-ND1
alzheimer disease	MT-ND2
alzheimer disease	TREM2
alzheimer disease	PSEN1
alzheimer disease	APP
alzheimer disease	PSEN2
alzheimer disease	PRKN
alzheimer disease	APOE
alzheimer disease	OLR1
alzheimer disease	CYP27C1
alzheimer disease	TOMM40
alzheimer disease	BIN1
alzheimer disease	PICALM
alzheimer disease	ABCA7
alzheimer disease	CLU
alzheimer disease	SCARA3
alzheimer disease	SH3RF3
alzheimer disease	MS4A4E
alzheimer disease	EDAR
alzheimer disease	MTHFD1L
alzheimer disease	CR1
alzheimer disease	APOC1
alzheimer disease	CD2AP
alzheimer disease	GAB2
alzheimer disease	ZNF292
alzheimer disease	MS4A6A
alzheimer disease	EPHA1
alzheimer disease	CD33
alzheimer disease	NECTIN2
alzheimer disease	MS4A4A
amino acid metabolism, inborn errors	BCKDHA
amino acid metabolism, inborn errors	GCDH
amino acid metabolism, inborn errors	GLDC
amino acid metabolism, inborn errors	GCSH
amino acid metabolism, inborn errors	SLC25A13
amino acid metabolism, inborn errors	PCCA
amino acid metabolism, inborn errors	HLCS
amino acid metabolism, inborn errors	AMT
amino acid metabolism, inborn errors	TAT
amino acid metabolism, inborn errors	AP3B1
amino acid metabolism, inborn errors	PAH
amino acid metabolism, inborn errors	DLD
amino acid metabolism, inborn errors	MITF
amino acid metabolism, inborn errors	SUGCT
amino acid metabolism, inborn errors	CBS
amino acid metabolism, inborn errors	OCA2
amino acid metabolism, inborn errors	PCCB
amino acid metabolism, inborn errors	HPS1
amino acid metabolism, inborn errors	CPS1
amino acid metabolism, inborn errors	ACAD9
amino acid metabolism, inborn errors	BLOC1S6
amino acid metabolism, inborn errors	HPS3
amino acid metabolism, inborn errors	SLC45A2
amino acid metabolism, inborn errors	HGD
amino acid metabolism, inborn errors	QDPR
amino acid metabolism, inborn errors	BLOC1S3
amino acid metabolism, inborn errors	AASS
amino acid metabolism, inborn errors	KIT
amino acid metabolism, inborn errors	TYR
amino acid metabolism, inborn errors	OTC
amino acid metabolism, inborn errors	ASS1
amino acid metabolism, inborn errors	ACADM
amino acid metabolism, inborn errors	ETFDH
amino acid metabolism, inborn errors	ARG1
amino acid metabolism, inborn errors	FAH
amino acid metabolism, inborn errors	TYRP1
amino acid metabolism, inborn errors	HPS5
amino acid metabolism, inborn errors	BCKDHB
amino acid metabolism, inborn errors	ASL
amino acid metabolism, inborn errors	SLC52A1
amino acid metabolism, inborn errors	GPR143
amino acid metabolism, inborn errors	PEPD
amino acid metabolism, inborn errors	HPS6
amino acid metabolism, inborn errors	HPS4
amino acid metabolism, inborn errors	HPD
amino acid metabolism, inborn errors	DBT
amino acid metabolism, inborn errors	ACADVL
amino acid metabolism, inborn errors	ACADSB
amino acid metabolism, inborn errors	ACADS
amino acid metabolism, inborn errors	ACAD8
amino acid metabolism, inborn errors	CYP11B2
amino acid metabolism, inborn errors	ETFB
amino acid metabolism, inborn errors	ETFA
amino acid metabolism, inborn errors	DTNBP1
amino acid metabolism, inborn errors	BTD
amino acid metabolism, inborn errors	PCBD1
amyotrophic lateral sclerosis	SOD1
amyotrophic lateral sclerosis	ALS2
amyotrophic lateral sclerosis	FUS
amyotrophic lateral sclerosis	OPTN
amyotrophic lateral sclerosis	TRPM7
amyotrophic lateral sclerosis	VAPB
amyotrophic lateral sclerosis	FGGY
amyotrophic lateral sclerosis	DCTN1
amyotrophic lateral sclerosis	NEFH
amyotrophic lateral sclerosis	SETX
amyotrophic lateral sclerosis	FIG4
amyotrophic lateral sclerosis	ATXN2
amyotrophic lateral sclerosis	TARDBP
amyotrophic lateral sclerosis	VCP
amyotrophic lateral sclerosis	ANG
amyotrophic lateral sclerosis	UBQLN2
amyotrophic lateral sclerosis	C9orf72
amyotrophic lateral sclerosis	DPP6
amyotrophic lateral sclerosis	TIAM1
amyotrophic lateral sclerosis	CDC42
amyotrophic lateral sclerosis	UNC13A
amyotrophic lateral sclerosis	KIFAP3
amyotrophic lateral sclerosis	IFNK
amyotrophic lateral sclerosis	ZNF746
amyotrophic lateral sclerosis	C9orf72
anemia	ALAS2
anemia	THBD
anemia	CFB
anemia	KLF1
anemia	CFI
anemia	RPL5
anemia	SPTA1
anemia	EPB42
anemia	HBA2
anemia	HBB
anemia	TERT
anemia	RPL35A
anemia	GPI
anemia	PIGA
anemia	CDAN1
anemia	ABCB7
anemia	FOXP3
anemia	DHFR
anemia	PALB2
anemia	RPS10
anemia	RPS19
anemia	EPB41
anemia	ATRX
anemia	RPS7
anemia	FANCA
anemia	FANCC
anemia	FANCE
anemia	RPS24
anemia	SLC11A2
anemia	FANCD2
anemia	GATA1
anemia	AK1
anemia	C3
anemia	SLC19A2
anemia	GCLC
anemia	FANCI
anemia	SLC4A1
anemia	CUBN
anemia	FANCB
anemia	CFH
anemia	ANK1
anemia	FANCG
anemia	AMN
anemia	SPTB
anemia	NBN
anemia	SEC23B
anemia	HBA1
anemia	FANCL
anemia	CD46
anemia	NT5C3A
anemia	RPL11
anemia	TMPRSS6
anemia	G6PD
anemia	PUS1
anemia	HK1
anemia	IFNG
anemia	RPS26
anemia	CFHR5
anemia	RPS17
anemia	ITPA
anemia, aplastic	RPL5
anemia, aplastic	TERT
anemia, aplastic	RPL35A
anemia, aplastic	IFNG
anemia, aplastic	PALB2
anemia, aplastic	RPS10
anemia, aplastic	RPS19
anemia, aplastic	FANCC
anemia, aplastic	RPS7
anemia, aplastic	FANCA
anemia, aplastic	FANCE
anemia, aplastic	RPS24
anemia, aplastic	FANCD2
anemia, aplastic	FANCI
anemia, aplastic	FANCB
anemia, aplastic	FANCG
anemia, aplastic	NBN
anemia, aplastic	FANCL
anemia, aplastic	RPL11
anemia, aplastic	RPS26
anemia, aplastic	RPS17
anemia, hemolytic	CFB
anemia, hemolytic	CFI
anemia, hemolytic	SPTA1
anemia, hemolytic	HBA2
anemia, hemolytic	HBB
anemia, hemolytic	GPI
anemia, hemolytic	PIGA
anemia, hemolytic	CDAN1
anemia, hemolytic	THBD
anemia, hemolytic	EPB41
anemia, hemolytic	ATRX
anemia, hemolytic	KLF1
anemia, hemolytic	SEC23B
anemia, hemolytic	EPB42
anemia, hemolytic	GATA1
anemia, hemolytic	AK1
anemia, hemolytic	C3
anemia, hemolytic	FOXP3
anemia, hemolytic	SLC4A1
anemia, hemolytic	GCLC
anemia, hemolytic	SPTB
anemia, hemolytic	NT5C3A
anemia, hemolytic	HBA1
anemia, hemolytic	CD46
anemia, hemolytic	G6PD
anemia, hemolytic	HK1
anemia, hemolytic	ANK1
anemia, hemolytic	CFHR5
anemia, hemolytic	CFH
aneurysm	COL3A1
aneurysm	SMAD3
aneurysm	ACTA2
aneurysm	TGFBR1
aneurysm	MYH11
aneurysm	MYLK
aneurysm	TGFBR2
aneurysm	FBN1
aneurysm	CNNM2
aneurysm	DAB2IP
aneurysm	STARD13
aneurysm	BOLL
aneurysm	RP1
aneurysm	LRP1
aneurysm	RBBP8
aneurysm	SOX17
ankylosis	IL12B
ankylosis	ADRA1B
ankylosis	LTBR
ankylosis	KPNB1
ankylosis	KIF21B
ankylosis	EDIL3
ankylosis	RUNX3
ankylosis	ANO6
ankylosis	SYF2
ankylosis	ERAP1
ankylosis	TBKBP1
ankylosis	B3GNT2
ankylosis	IL23R
ankylosis	TMEM17
arrhythmias, cardiac	KCNJ2
arrhythmias, cardiac	ABCC9
arrhythmias, cardiac	AKAP9
arrhythmias, cardiac	KCNE1
arrhythmias, cardiac	KCNE3
arrhythmias, cardiac	KCNH2
arrhythmias, cardiac	KCNE2
arrhythmias, cardiac	HCN4
arrhythmias, cardiac	SNTA1
arrhythmias, cardiac	CAV3
arrhythmias, cardiac	GPD1L
arrhythmias, cardiac	ANK2
arrhythmias, cardiac	CACNA1C
arrhythmias, cardiac	KCNJ5
arrhythmias, cardiac	KCNA5
arrhythmias, cardiac	SCN1B
arrhythmias, cardiac	SCN3B
arrhythmias, cardiac	MYH6
arrhythmias, cardiac	GJA5
arrhythmias, cardiac	DPP6
arrhythmias, cardiac	KCNQ1
arrhythmias, cardiac	CACNB2
arrhythmias, cardiac	NPPA
arrhythmias, cardiac	PRKAG2
arrhythmias, cardiac	SCN4B
arrhythmias, cardiac	SCN5A
arrhythmias, cardiac	KCNN3
arrhythmias, cardiac	PITX2
arrhythmias, cardiac	NOS1AP
arrhythmias, cardiac	ZFHX3
arrhythmias, cardiac	OLFML2B
arrhythmias, cardiac	CEP85L
arterial occlusive diseases	LRP6
arterial occlusive diseases	MLC1
arterial occlusive diseases	KALRN
arterial occlusive diseases	ARID5B
arterial occlusive diseases	ACTA2
arterial occlusive diseases	TERT
arterial occlusive diseases	MEF2A
arterial occlusive diseases	PINX1
arterial occlusive diseases	DYNC2H1
arterial occlusive diseases	ALDH2
arterial occlusive diseases	UBE2Z
arterial occlusive diseases	PIK3CG
arterial occlusive diseases	BCAP29
arterial occlusive diseases	TCF21
arterial occlusive diseases	CXCL12
arterial occlusive diseases	ZPR1
arterial occlusive diseases	EDNRA
arterial occlusive diseases	KCNE2
arterial occlusive diseases	DMRTA1
arterial occlusive diseases	ZC3HC1
arterial occlusive diseases	ADAMTS7
arterial occlusive diseases	RNF213
arterial occlusive diseases	SMARCA4
arterial occlusive diseases	PRDM9
arterial occlusive diseases	HNRNPD
arterial occlusive diseases	CXCL3
arterial occlusive diseases	APOC1
arterial occlusive diseases	PLPP3
arterial occlusive diseases	PHACTR1
arterial occlusive diseases	ANKS1A
arterial occlusive diseases	SMG6
arterial occlusive diseases	PDGFD
arterial occlusive diseases	PEMT
arterial occlusive diseases	CCDC71L
arterial occlusive diseases	HHIPL1
arterial occlusive diseases	MIA3
arterial occlusive diseases	CNNM2
arterial occlusive diseases	CTNNA1
arterial occlusive diseases	CELSR2
arterial occlusive diseases	MRAS
arterial occlusive diseases	RAI1
arterial occlusive diseases	COL4A2
arterial occlusive diseases	LPA
arterial occlusive diseases	PSRC1
arterial occlusive diseases	COL4A1
arterial occlusive diseases	APOE
arterial occlusive diseases	JCAD
arterial occlusive diseases	LIPA
arterial occlusive diseases	WDR12
arterial occlusive diseases	CDH10
arterial occlusive diseases	ZHX2
arteriosclerosis	LRP6
arteriosclerosis	MLC1
arteriosclerosis	KALRN
arteriosclerosis	ARID5B
arteriosclerosis	TERT
arteriosclerosis	MEF2A
arteriosclerosis	PINX1
arteriosclerosis	DYNC2H1
arteriosclerosis	ALDH2
arteriosclerosis	UBE2Z
arteriosclerosis	PIK3CG
arteriosclerosis	BCAP29
arteriosclerosis	TCF21
arteriosclerosis	CXCL12
arteriosclerosis	EDNRA
arteriosclerosis	KCNE2
arteriosclerosis	DMRTA1
arteriosclerosis	ZC3HC1
arteriosclerosis	ADAMTS7
arteriosclerosis	SMARCA4
arteriosclerosis	ZPR1
arteriosclerosis	APOC1
arteriosclerosis	PLPP3
arteriosclerosis	PHACTR1
arteriosclerosis	ANKS1A
arteriosclerosis	APOE
arteriosclerosis	PDGFD
arteriosclerosis	PEMT
arteriosclerosis	CCDC71L
arteriosclerosis	HHIPL1
arteriosclerosis	MIA3
arteriosclerosis	CNNM2
arteriosclerosis	CELSR2
arteriosclerosis	MRAS
arteriosclerosis	RAI1
arteriosclerosis	COL4A2
arteriosclerosis	LPA
arteriosclerosis	PSRC1
arteriosclerosis	COL4A1
arteriosclerosis	SMG6
arteriosclerosis	JCAD
arteriosclerosis	LIPA
arteriosclerosis	WDR12
arteriosclerosis	ZHX2
arthritis	MIF
arthritis	UMOD
arthritis	FCRL3
arthritis	IL6
arthritis	MICB
arthritis	MATN3
arthritis	IRF5
arthritis	STAT4
arthritis	ASPN
arthritis	ANKH
arthritis	LTA
arthritis	GDF5
arthritis	PADI4
arthritis	FRZB
arthritis	SLC2A9
arthritis	HSPA5
arthritis	NFKBIL1
arthritis	TNF
arthritis	SLC22A4
arthritis	MICA
arthritis	TNFAIP3
arthritis	KIF21B
arthritis	FAM205A
arthritis	SLC22A12
arthritis	HLA-DRB1
arthritis	HLA-DRB5
arthritis	IL2RA
arthritis	SYF2
arthritis	TSBP1
arthritis	KPNB1
arthritis	HLA-G
arthritis	SPRED2
arthritis	CTLA4
arthritis	PADI4
arthritis	OLIG3
arthritis	RIT2
arthritis	IL23R
arthritis	LONRF2
arthritis	TRAF3IP2
arthritis	BTNL2
arthritis	APOM
arthritis	MCF2L
arthritis	TMEM17
arthritis	ANKRD55
arthritis	AGBL4
arthritis	ANO6
arthritis	ERAP1
arthritis	MACIR
arthritis	SMIM20
arthritis	SF1
arthritis	REL
arthritis	CCR6
arthritis	IRF5
arthritis	LTBR
arthritis	PHF19
arthritis	FTHL17
arthritis	BLK
arthritis	MAP4K2
arthritis	TAB3
arthritis	FAM167A
arthritis	ZIC3
arthritis	IL12B
arthritis	TLL1
arthritis	RBPJ
arthritis	SLC2A9
arthritis	CCL21
arthritis	GRID2
arthritis	RUNX3
arthritis	B3GNT2
arthritis	TNPO3
arthritis	RSBN1
arthritis	RELN
arthritis	TBKBP1
arthritis	PFKL
arthritis	CD40
arthritis	FAM107A
arthritis	CNTLN
arthritis	EDIL3
arthritis	PTPN22
arthritis	HLA-C
arthritis	ASIC2
arthritis	AIRE
arthritis	PIK3C3
arthritis	ADRA1B
arthritis	AFF3
arthritis	SGK1
arthritis	HLA-DQB1
arthritis	HLA-DQA2
arthritis	NOTCH4
arthritis	TRAF1
arthritis, rheumatoid	MIF
arthritis, rheumatoid	SLC22A4
arthritis, rheumatoid	MICB
arthritis, rheumatoid	IRF5
arthritis, rheumatoid	STAT4
arthritis, rheumatoid	IL6
arthritis, rheumatoid	PADI4
arthritis, rheumatoid	FCRL3
arthritis, rheumatoid	HSPA5
arthritis, rheumatoid	NFKBIL1
arthritis, rheumatoid	APOM
arthritis, rheumatoid	TNFAIP3
arthritis, rheumatoid	TNPO3
arthritis, rheumatoid	RSBN1
arthritis, rheumatoid	HLA-DRB5
arthritis, rheumatoid	FAM205A
arthritis, rheumatoid	PFKL
arthritis, rheumatoid	CD40
arthritis, rheumatoid	FAM107A
arthritis, rheumatoid	ANKRD55
arthritis, rheumatoid	HLA-DRB1
arthritis, rheumatoid	PTPN22
arthritis, rheumatoid	RBPJ
arthritis, rheumatoid	IL2RA
arthritis, rheumatoid	TSBP1
arthritis, rheumatoid	AFF3
arthritis, rheumatoid	AIRE
arthritis, rheumatoid	SMIM20
arthritis, rheumatoid	CCL21
arthritis, rheumatoid	REL
arthritis, rheumatoid	CCR6
arthritis, rheumatoid	IRF5
arthritis, rheumatoid	MACIR
arthritis, rheumatoid	HLA-G
arthritis, rheumatoid	SPRED2
arthritis, rheumatoid	CTLA4
arthritis, rheumatoid	PADI4
arthritis, rheumatoid	OLIG3
arthritis, rheumatoid	HLA-DQB1
