side_effect	protein	ADJ_pvalue
Eosinophil count increased	ABCB1	0.164350052366834
Eosinophilia	ABCB1	0.0153898558663917
Epigastric discomfort	ABCB1	0.0387229077762043
Epistaxis	ABCB1	0.000693896962376669
Erectile dysfunction	ABCB1	5.55993025269686e-05
Eructation	ABCB1	0.050678052452501
Erythema	ABCB1	0.124110963071761
Erythema multiforme	ABCB1	0.00247944660142847
Euphoric mood	ABCB1	0.095175607125887
Exfoliative rash	ABCB1	0.0680594005089621
Exophthalmos	ABCB1	0.164350052366834
Extrapyramidal disorder	ABCB1	0.000107762328294333
Extravasation	ABCB1	0.168335054062329
Eye disorder	ABCB1	0.00829147513037981
Eye haemorrhage	ABCB1	0.101740904346671
Eye pain	ABCB1	0.0512652575598893
Eyelid oedema	ABCB1	0.057312333906093
Face oedema	ABCB1	0.00280290319818855
Facial paresis	ABCB1	0.1183627165646
Faecal incontinence	ABCB1	0.164433836979961
Faecalith	ABCB1	0.14499969053297
Faecaloma	ABCB1	0.14499969053297
Fatigue	ABCB1	0.00834076743649953
Febrile neutropenia	ABCB1	0.00778626073986167
Feeling abnormal	ABCB1	0.00963546434540331
Female sexual dysfunction	ABCB1	0.00830583642944374
Fistula	ABCB1	0.1183627165646
Flank pain	ABCB1	0.15471461832277
Flat affect	ABCB1	0.0220589495005705
Flatulence	ABCB1	0.0196868590492099
Floppy iris syndrome	ABCB1	0.0179478285268118
Fluid retention	ABCB1	0.062759646565386
Flushing	ABCB1	0.00220632337212373
Folliculitis	ABCB1	0.0589558007705896
Fracture	ABCB1	0.137208920445251
Frequent bowel movements	ABCB1	0.19401784888917
Functional gastrointestinal disorder	ABCB1	0.0895003739648211
Fungal skin infection	ABCB1	0.178541656197284
Gait disturbance	ABCB1	0.00626579999672134
Galactorrhoea	ABCB1	0.000276900357993678
Gamma-glutamyltransferase increased	ABCB1	0.00464788425735308
Gastritis	ABCB1	0.0153898558663917
Gastroenteritis	ABCB1	0.0277050123802322
Gastrointestinal disorder	ABCB1	0.000509488072023538
Gastrointestinal haemorrhage	ABCB1	0.0353309427503318
Gastrointestinal pain	ABCB1	0.00145504163881365
Gastrointestinal perforation	ABCB1	0.152162149902311
Gastrooesophageal reflux disease	ABCB1	0.0365800444067744
Generalised oedema	ABCB1	0.140781368944539
Gingival bleeding	ABCB1	0.0508914727549873
Gingivitis	ABCB1	0.00201229313459632
Glaucoma	ABCB1	0.0283428417674422
Glossitis	ABCB1	0.0255776032467632
Glossodynia	ABCB1	0.0543180791628532
Gout	ABCB1	0.0815811937156762
Grand mal convulsion	ABCB1	0.0209566537701336
Gravitational oedema	ABCB1	0.0959752637904629
Gynaecomastia	ABCB1	7.83000977433021e-05
Haematemesis	ABCB1	0.114817713520419
Haematuria	ABCB1	0.103156418272523
Haemoglobin decreased	ABCB1	0.0114986674369947
Haemorrhagic disorder	ABCB1	0.0542889638741807
Haemorrhagic stroke	ABCB1	0.0473587969629732
Haemorrhoids	ABCB1	0.12948477226217
Hallucination	ABCB1	0.102227676068409
Headache	ABCB1	0.00297043340944505
Hepatic enzyme increased	ABCB1	0.00292925958794141
Hepatic failure	ABCB1	0.00405406610281187
Hepatic necrosis	ABCB1	0.114167041963553
Hepatic steatosis	ABCB1	0.0169385035127307
Hepatitis	ABCB1	1.92880719631265e-06
Hepatitis cholestatic	ABCB1	0.143139542341747
Hepatitis toxic	ABCB1	0.0542889638741807
Hepatobiliary disease	ABCB1	3.82607156047649e-06
Hepatocellular injury	ABCB1	0.198182200439982
Hepatotoxicity	ABCB1	0.0346963640807261
Hiccups	ABCB1	0.174517550434335
Hot flush	ABCB1	0.0141991998035212
Hyperaesthesia	ABCB1	0.0937448509664434
Hyperbilirubinaemia	ABCB1	0.000490016258930948
Hypercholesterolaemia	ABCB1	0.0287910957849814
Hyperglycaemia	ABCB1	6.36786891762701e-05
Hyperhidrosis	ABCB1	0.0315638577647167
Hyperkinesia	ABCB1	0.00136211285085962
Hyperlactacidaemia	ABCB1	0.0473587969629732
Hyperlipidaemia	ABCB1	0.122227223827668
Hypermagnesaemia	ABCB1	0.0473587969629732
Hyperphagia	ABCB1	0.164350052366834
Hyperphosphataemia	ABCB1	0.0699961652725342
Hyperprolactinaemia	ABCB1	0.00624728895466628
Hyperreflexia	ABCB1	0.198668684530033
Hypersensitivity	ABCB1	0.0659146538824691
Hypersomnia	ABCB1	0.00624728895466628
Hypertension	ABCB1	0.0356558191102455
Hyperthyroidism	ABCB1	0.035578576486805
Hypertonia	ABCB1	0.049692425411246
Hypertrichosis	ABCB1	0.15471461832277
Hypertriglyceridaemia	ABCB1	0.0114986674369947
Hyperuricaemia	ABCB1	0.0767295386469507
Hyperventilation	ABCB1	0.0186735289048501
Hypoaesthesia	ABCB1	0.00011742149188817
Hypoalbuminaemia	ABCB1	0.00668128430839119
Hypocalcaemia	ABCB1	0.0576468662308245
Hypoglycaemia	ABCB1	0.00146839820544668
Hypohidrosis	ABCB1	0.129792539704591
Hypokalaemia	ABCB1	0.00253071059168199
Hypokinesia	ABCB1	0.000576255113754854
Hypomagnesaemia	ABCB1	0.0120305623689983
Hypomania	ABCB1	0.0248030851046458
Hyponatraemia	ABCB1	0.00064167565175943
Hypophosphataemia	ABCB1	0.00890517349332759
Hyporeflexia	ABCB1	0.120418100350205
Hypotension	ABCB1	0.0791099195530531
Hypothyroidism	ABCB1	0.0186735289048501
Hypotonia	ABCB1	0.114165040897978
Hypotrichosis	ABCB1	0.1183627165646
Ileus	ABCB1	0.0151448891725814
Ileus paralytic	ABCB1	0.0269422335617949
Ill-defined disorder	ABCB1	0.00641995235946846
Immune system disorder	ABCB1	0.020010268321714
Inappropriate antidiuretic hormone secretion	ABCB1	0.00143689215517221
Increased appetite	ABCB1	0.00436073660474482
Infection	ABCB1	0.0457457479767212
Infestation	ABCB1	0.0262090903908032
Influenza	ABCB1	0.0950333562123097
Insomnia	ABCB1	1.06156587986241e-05
Insulin resistance	ABCB1	0.0521783391978684
Interstitial lung disease	ABCB1	0.00358702074219796
Intestinal obstruction	ABCB1	0.0193100192659841
Intestinal perforation	ABCB1	0.0262090903908032
Irritable bowel syndrome	ABCB1	0.0638049407515603
Ischaemia	ABCB1	0.00160456096981062
Jaundice	ABCB1	0.000184103709428881
Joint stiffness	ABCB1	0.15471461832277
Keratopathy	ABCB1	0.101824300053687
Laryngeal pain	ABCB1	0.063060600675199
Laryngitis	ABCB1	0.148332260376487
Laryngospasm	ABCB1	0.0485701989969691
Left ventricular dysfunction	ABCB1	0.101824300053687
Lethargy	ABCB1	0.00403194547303041
Leukopenia	ABCB1	1.33870505853446e-05
Libido decreased	ABCB1	0.0280450964285756
Libido increased	ABCB1	0.0617068242084303
Lip dry	ABCB1	0.164350052366834
Lip swelling	ABCB1	0.164350052366834
Lipodystrophy acquired	ABCB1	0.164350052366834
Liver function test abnormal	ABCB1	0.00268939145302025
Loss of consciousness	ABCB1	0.0193962133306765
Loss of libido	ABCB1	0.0101443521030844
Lower respiratory tract infection	ABCB1	0.0895003739648211
Lymphadenitis	ABCB1	0.103182309266055
Lymphadenopathy	ABCB1	0.0525639629563291
Lymphoedema	ABCB1	0.0938871112991925
Lymphopenia	ABCB1	0.00087378068754097
Macular degeneration	ABCB1	0.129792539704591
Maculopathy	ABCB1	0.0521783391978684
Malaise	ABCB1	0.0173802740144307
Malnutrition	ABCB1	0.0007624895713048
Mania	ABCB1	0.0170279442546617
Masked facies	ABCB1	0.0404178592473325
Mediastinal disorder	ABCB1	0.00403128601101967
Melaena	ABCB1	0.049692425411246
Menopausal symptoms	ABCB1	0.022277301514797
Menorrhagia	ABCB1	0.00190325845749308
Menstrual disorder	ABCB1	0.00489825294946618
Menstruation irregular	ABCB1	0.0922200382261935
Mental disability	ABCB1	0.185381547455641
Mental disorder	ABCB1	0.0124325716201834
Metabolic disorder	ABCB1	0.19401784888917
Metrorrhagia	ABCB1	0.0146860465523615
Micturition disorder	ABCB1	0.00591736686671525
Middle insomnia	ABCB1	0.129792539704591
Mood swings	ABCB1	0.022277301514797
Mouth ulceration	ABCB1	0.00185267187903498
Movement disorder	ABCB1	0.0134963550148549
Mucosal inflammation	ABCB1	0.0050078023754558
Multiple fractures	ABCB1	0.137208920445251
Muscle contractions involuntary	ABCB1	0.164433836979961
Muscle contracture	ABCB1	0.129792539704591
Muscle relaxant therapy	ABCB1	0.0970759171572877
Muscle rigidity	ABCB1	0.0431670248798256
Muscle spasms	ABCB1	0.00318862205786776
Muscle tightness	ABCB1	0.152162149902311
Muscle twitching	ABCB1	0.0912218277198248
Muscular weakness	ABCB1	0.000624178967687834
Musculoskeletal chest pain	ABCB1	0.122286917159191
Musculoskeletal discomfort	ABCB1	0.00225475466161184
Musculoskeletal pain	ABCB1	0.0166681405282781
Musculoskeletal stiffness	ABCB1	0.0225928494430374
Myalgia	ABCB1	2.81769738070324e-05
Mydriasis	ABCB1	0.0767295386469507
Myocardial infarction	ABCB1	0.00713803339072434
Myocardial ischaemia	ABCB1	0.00741528456484922
Myoclonus	ABCB1	0.0310874643296633
Myopathy	ABCB1	0.0010508681444539
Myositis	ABCB1	0.192157729452187
Nail discolouration	ABCB1	0.101824300053687
Nail disorder	ABCB1	0.0297535360262048
Nasopharyngitis	ABCB1	0.130442187339702
Nausea	ABCB1	0.00919904111091648
Neck pain	ABCB1	0.120507823938874
Neoplasm	ABCB1	0.0656067121268816
Neoplasm malignant	ABCB1	0.114044406919004
Nervous system disorder	ABCB1	0.00579814962966975
Neuralgia	ABCB1	0.0209856294580674
Neuritis	ABCB1	0.137158867656782
Neuroleptic malignant syndrome	ABCB1	0.002732762913054
Neuropathy peripheral	ABCB1	0.000628084638162652
Neurosis	ABCB1	0.137208920445251
Neutropenia	ABCB1	5.73938088861134e-05
Neutropenic colitis	ABCB1	0.101824300053687
Night blindness	ABCB1	0.113720961837722
Night sweats	ABCB1	0.0159656807058838
Nightmare	ABCB1	0.0217346942561936
Nocturia	ABCB1	0.0210986482588192
Nuchal rigidity	ABCB1	0.182947354326098
Nystagmus	ABCB1	0.0937448509664434
Obesity	ABCB1	0.113720961837722
Oculogyric crisis	ABCB1	0.00218405037626056
Oedema	ABCB1	0.00871333120951044
Oedema peripheral	ABCB1	0.0624496663410985
Oesophagitis	ABCB1	0.0079120287915018
Onycholysis	ABCB1	0.164350052366834
Opisthotonus	ABCB1	0.0101332661403675
Opportunistic infection	ABCB1	0.0738355457305508
Oral candidiasis	ABCB1	0.164433836979961
Oral pain	ABCB1	0.00280398529489911
Orgasm abnormal	ABCB1	0.0473587969629732
Oropharyngeal discomfort	ABCB1	0.0528373435771652
Oropharyngeal pain	ABCB1	0.0178998400688229
Orthostatic hypotension	ABCB1	0.000216721098848037
Pain	ABCB1	0.140126477537159
Pain in extremity	ABCB1	0.0656067121268816
Palpitations	ABCB1	0.0220666425740908
Pancreatitis	ABCB1	0.000272405551217425
Pancytopenia	ABCB1	0.0134867290547637
Paraesthesia	ABCB1	0.0396097848038305
Paranoia	ABCB1	0.0527541350096779
Parkinsonism	ABCB1	0.0157283419027727
Pelvic pain	ABCB1	0.188223515723305
Peripheral coldness	ABCB1	0.0176651849270645
Peripheral motor neuropathy	ABCB1	0.00668128430839119
Peripheral sensory neuropathy	ABCB1	0.122286917159191
Petechiae	ABCB1	0.0614483035942691
Pharyngitis	ABCB1	0.0119481197145642
Phobia	ABCB1	0.1183627165646
Photophobia	ABCB1	0.191855883589657
Photopsia	ABCB1	0.122286917159191
Photosensitivity reaction	ABCB1	0.0502386088761619
Pigmentation disorder	ABCB1	0.0261642959226989
Platelet count decreased	ABCB1	0.0646854146690858
Pleuritic pain	ABCB1	0.184495629887554
Pneumonia	ABCB1	6.80338998009103e-05
Pollakiuria	ABCB1	0.000145718927725087
Polyneuropathy	ABCB1	0.196164113763055
Polyp	ABCB1	0.0817017298050409
Polyuria	ABCB1	0.0599484242378723
Poor quality sleep	ABCB1	0.1183627165646
Pregnancy	ABCB1	0.164433836979961
Premature ejaculation	ABCB1	0.1183627165646
Priapism	ABCB1	0.00265473782296313
Prurigo	ABCB1	0.0261642959226989
Pruritus	ABCB1	0.0205964713176098
Pruritus generalised	ABCB1	0.0132176225440979
Psoriasis	ABCB1	0.133195387269871
Psychotic disorder	ABCB1	0.0708692791281288
Pulmonary embolism	ABCB1	0.0461714589687589
Pulmonary haemorrhage	ABCB1	0.0895003739648211
Pulmonary hypertension	ABCB1	0.075788596746367
Purpura	ABCB1	0.0923545690477853
Rash	ABCB1	0.00614016126949563
Rash erythematous	ABCB1	0.0178998400688229
Rash maculo-papular	ABCB1	0.000334903716044293
Rash papular	ABCB1	0.122286917159191
Rash pustular	ABCB1	0.063060600675199
Rash vesicular	ABCB1	0.103182309266055
Recall phenomenon	ABCB1	0.19401784888917
Rectal haemorrhage	ABCB1	0.0136801845950839
Renal colic	ABCB1	0.0521783391978684
Renal failure	ABCB1	0.0272524303898876
Renal failure acute	ABCB1	0.0121931700099143
Renal impairment	ABCB1	0.0850801768993312
Renal pain	ABCB1	0.0114986674369947
Respiratory failure	ABCB1	0.120507823938874
Respiratory tract infection	ABCB1	0.17376151336543
Restless legs syndrome	ABCB1	0.015695672198086
Retrograde ejaculation	ABCB1	0.0179478285268118
Rhabdomyolysis	ABCB1	1.67227684887306e-05
Rhinitis	ABCB1	0.0175325887639635
Salivary hypersecretion	ABCB1	0.0275634994290653
Scotoma	ABCB1	0.00348410635333559
Seborrhoeic dermatitis	ABCB1	0.0463691987619295
Self-injurious ideation	ABCB1	0.0521783391978684
Sensory loss	ABCB1	0.0791036027866161
Sepsis	ABCB1	0.159013564873404
Serotonin syndrome	ABCB1	0.0248030851046458
Sexual dysfunction	ABCB1	0.00890517349332759
Shock	ABCB1	0.0473887683367945
Sinus arrest	ABCB1	0.184495629887554
Sinus arrhythmia	ABCB1	0.184495629887554
Sinus bradycardia	ABCB1	0.00143643516992522
Sinus tachycardia	ABCB1	0.0205964713176098
Sinusitis	ABCB1	0.0243398219078961
Skin discolouration	ABCB1	0.00193048334634772
Skin disorder	ABCB1	0.00205958363763998
Skin infection	ABCB1	0.14499969053297
Skin lesion	ABCB1	0.119861376558211
Sleep disorder	ABCB1	0.0698883138720703
Sluggishness	ABCB1	0.00844941729005088
Somnolence	ABCB1	0.0228244235305873
Speech disorder	ABCB1	0.00736528236122742
Staphylococcal infection	ABCB1	0.184495629887554
Stevens-Johnson syndrome	ABCB1	0.00329584982438023
Stomatitis	ABCB1	0.000473980074503936
Sudden death	ABCB1	0.00138193694180331
Suicidal behaviour	ABCB1	0.119861376558211
Suicidal ideation	ABCB1	0.0186735289048501
Suicide attempt	ABCB1	0.0119479290921684
Syncope	ABCB1	0.034042196441083
Tardive dyskinesia	ABCB1	0.000342658334596803
Testicular disorder	ABCB1	0.0841979671890344
Thinking abnormal	ABCB1	0.0824247154484813
Thirst	ABCB1	0.133947909621626
Throat tightness	ABCB1	0.000257662539752971
Thrombocytopenia	ABCB1	2.86744934049599e-05
Thrombophlebitis	ABCB1	0.146290594066742
Thrombotic thrombocytopenic purpura	ABCB1	0.14499969053297
Thyroiditis	ABCB1	0.0077669301614914
Tinnitus	ABCB1	0.000191808891532008
Tongue discolouration	ABCB1	0.131699150053987
Tongue disorder	ABCB1	0.199399054508858
Tongue oedema	ABCB1	0.155038377108663
Torsade de pointes	ABCB1	7.70610945250044e-06
Torticollis	ABCB1	0.019135646267445
Toxic epidermal necrolysis	ABCB1	0.0229512342072722
Transaminases increased	ABCB1	0.0399104511938357
Transient ischaemic attack	ABCB1	0.054823394212959
Tremor	ABCB1	0.0218753742193473
Trismus	ABCB1	0.00684939489728251
Tumour lysis syndrome	ABCB1	0.0959752637904629
Tumour necrosis	ABCB1	0.1183627165646
Tumour pain	ABCB1	0.0841979671890344
Unintended pregnancy	ABCB1	0.0077669301614914
Upper respiratory tract infection	ABCB1	0.0608915216428199
Urethral disorder	ABCB1	0.0060974462871189
Urinary incontinence	ABCB1	0.0525639629563291
Urinary retention	ABCB1	0.0835027884296636
Urinary tract disorder	ABCB1	0.00390358670881955
Urinary tract infection	ABCB1	0.0309080102953737
Urine abnormality	ABCB1	0.0699411793124931
Urine analysis abnormal	ABCB1	0.054823394212959
Urine output increased	ABCB1	0.0912218277198248
Urticaria	ABCB1	0.0297535360262048
Uterine spasm	ABCB1	0.1183627165646
Vaginal discharge	ABCB1	0.0193100192659841
Vaginal haemorrhage	ABCB1	0.10102312593377
Vascular purpura	ABCB1	0.0734954826048526
Vasculitis	ABCB1	0.0107371964170469
Venous thrombosis	ABCB1	0.0895003739648211
Ventricular arrhythmia	ABCB1	0.106158665103651
Ventricular dysfunction	ABCB1	0.0521783391978684
Ventricular fibrillation	ABCB1	0.086735164162542
Ventricular tachycardia	ABCB1	0.00181890249019859
Vertigo	ABCB1	0.00237235386604747
Viral infection	ABCB1	0.0778957736923484
Vision blurred	ABCB1	0.000395761162539213
Visual acuity reduced	ABCB1	0.131699150053987
Visual impairment	ABCB1	0.00442542644925803
Vomiting	ABCB1	0.0271303796648646
Vulvovaginal dryness	ABCB1	0.196164113763055
Water intoxication	ABCB1	0.0473587969629732
Weight decreased	ABCB1	2.14555885090932e-05
Weight increased	ABCB1	0.00032461550682922
White blood cell count decreased	ABCB1	0.0269422335617949
Withdrawal syndrome	ABCB1	0.120552150702327
Xerophthalmia	ABCB1	0.194518540143287
Yawning	ABCB1	0.0176651849270645
Abdominal pain	ABCB11	0.0523904072682475
Alanine aminotransferase increased	ABCB11	0.070908474166956
Amylase increased	ABCB11	0.109714540557226
Anaemia	ABCB11	0.188007211603276
Angina pectoris	ABCB11	0.13148874579623
Aspartate aminotransferase increased	ABCB11	0.169622144687451
Asthenia	ABCB11	0.12966028303417
Atrioventricular block	ABCB11	0.184495629887554
Basedow's disease	ABCB11	0.08683239435781
Blood glucose increased	ABCB11	0.142116836073653
Cardiogenic shock	ABCB11	0.126489530080735
Cellulitis	ABCB11	0.142296581014787
Cough	ABCB11	0.183629036098564
Cyst	ABCB11	0.111920078091928
Decreased appetite	ABCB11	0.151721523898434
Dehydration	ABCB11	0.179803430406539
Discomfort	ABCB11	0.00214950494378751
Disease progression	ABCB11	0.147799151677044
Dizziness	ABCB11	0.167322650901679
Drug eruption	ABCB11	0.0245198216358705
Drug interaction	ABCB11	0.0077669301614914
Dyspepsia	ABCB11	0.10102312593377
Erectile dysfunction	ABCB11	0.114349152807785
Fat redistribution	ABCB11	0.068133732820318
Feeling abnormal	ABCB11	0.0272392540931291
Folliculitis	ABCB11	0.0566104324296781
Gait disturbance	ABCB11	0.124972418329173
Gastrointestinal disorder	ABCB11	0.0971623817959239
Gastrointestinal pain	ABCB11	0.0319062878234581
Granulomatous liver disease	ABCB11	0.166047314993095
Haemolytic anaemia	ABCB11	0.0716077848122823
Hepatic function abnormal	ABCB11	0.18896682994315
Hepatic necrosis	ABCB11	0.154164446022647
Hepatitis	ABCB11	0.0115673490371092
Hyperbilirubinaemia	ABCB11	0.12930436987886
Hyperlactacidaemia	ABCB11	0.00964608196095416
Hypertriglyceridaemia	ABCB11	0.191348912903916
